"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: CHD (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:15:23",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,4.1294E-06,0,0,8.2589E-06,4.1294E-06,6.1417E-06,6.1423E-06,36.9694616556,0,1.0016380021,0.5
1,0,4.8209E-06,0,0,3.767E-07,6.9942E-06,0.000006142,0.495139178,46.7325533643,3.4015E-06,286.7463854557,1.5
2,0,5.6282E-06,0,0,1.1048E-06,6.1177E-06,0.000006142,0.000006143,58.2696720723,0,1.0173326989,2.5
3,0,6.5706E-06,0,0,1.0391E-06,7.3052E-06,6.1423E-06,0.000006143,57.283355664,0,1.065917796,3.5
4,0,7.6708E-06,0,0,0.000001137,8.5397E-06,6.1421E-06,6.1428E-06,56.2880948714,1E-10,1.1255845053,4.5
5,0,8.9552E-06,0,0,1.2823E-06,9.9303E-06,6.1424E-06,6.1429E-06,55.291333843,1E-10,1.1443991295,5.5
6,0,1.04547E-05,0,0,1.4617E-06,1.15231E-05,6.1421E-06,6.1428E-06,54.2945273623,1E-10,1.1240344114,6.5
7,0,1.22053E-05,0,0,1.6732E-06,1.33576E-05,6.1422E-06,6.1429E-06,53.2981954897,1E-10,1.0985312125,7.5
8,0,1.42489E-05,0,0,1.9186E-06,1.54745E-05,0.000006142,6.1425E-06,52.3023768427,1E-10,1.0858672625,8.5
9,0,1.66347E-05,0,0,2.2015E-06,1.79183E-05,6.1422E-06,6.1426E-06,51.3068019272,1E-10,1.08215836,9.5
10,0,0.00001942,0,0,0.000002527,2.07393E-05,6.1421E-06,6.1425E-06,50.3112114251,1E-10,1.0827543924,10.5
11,0,2.26715E-05,0,0,2.9008E-06,2.39946E-05,6.1419E-06,6.1424E-06,49.315490401,1E-10,1.0841528461,11.5
12,0,2.64673E-05,0,0,3.3295E-06,2.77497E-05,6.1418E-06,6.1425E-06,48.3196811383,2E-10,1.0828482228,12.5
13,0,3.08985E-05,0,0,3.8211E-06,0.000032079,6.1417E-06,6.1425E-06,47.3239594829,2E-10,1.0765349391,13.5
14,0,3.60715E-05,0,0,0.000004384,3.70677E-05,6.1418E-06,6.1425E-06,46.3285551724,2E-10,1.0671016577,14.5
15,0,4.21103E-05,0,0,5.0281E-06,4.28128E-05,6.1418E-06,6.1423E-06,45.3336791249,3E-10,1.0570789782,15.5
16,1.91111E-05,4.91597E-05,0,0,1.34442E-05,5.32643E-05,6.1419E-06,6.1425E-06,44.339499025,3E-10,1.0481600569,16.5
17,3.82222E-05,5.73889E-05,0,0,6.9424E-06,6.51072E-05,6.1423E-06,6.1432E-06,43.3460976433,4E-10,1.0412054036,17.5
