"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: CHD (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 16:57:22",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,7.3406E-06,0,0,0,0,0,0,0,0,0,0,16.5
17,1.65559E-05,0,0,0,1.65518E-05,8.2758E-06,3E-10,0,45.342450311,0,0,17.5
18,2.77991E-05,0.0003849352,0,0,3.12138E-05,3.36926E-05,0.000006141,6.1427E-06,44.3651498932,2E-10,1.0113687953,18.5
19,4.12237E-05,0.0007698704,0,0,4.49331E-05,7.63343E-05,6.1421E-06,6.1426E-06,43.3906570882,5E-10,1.0102694632,19.5
20,0.000056983,0.0011548057,0,0,6.16012E-05,0.0001387549,0.000006142,6.1434E-06,42.417606343,9E-10,1.0096936168,20.5
21,7.52305E-05,0.0015397409,0,0,8.10936E-05,0.0002258069,6.1421E-06,6.1421E-06,41.4450849124,1.4E-09,1.009414645,21.5
22,9.61195E-05,0.0019246761,0,0,0.0001035086,0.0003427708,6.1421E-06,0.000006142,40.4725137106,2.1E-09,1.0092728698,22.5
23,0.0001198035,0.0019350389,0,0,0.000130145,0.0004961152,0.000006142,6.1425E-06,39.4996790426,0.000000003,1.0091435834,23.5
24,0.0001464358,0.0019454017,0,0,0.0001596874,0.0006929535,6.1429E-06,0.00000614,38.5265898525,4.3E-09,1.008986917,24.5
25,0.0001761698,0.0019557645,0,0,0.0001917028,0.0009401149,6.1412E-06,6.1404E-06,37.5533251586,5.8E-09,1.0087987829,25.5
26,0.0002091589,0.0019661273,0,0,0.0002246675,0.001244053,6.1418E-06,6.1421E-06,36.5800033698,7.6E-09,1.0085654883,26.5
27,0.0002455565,0.0019764901,0,0,0.0002565145,0.0016099431,6.1415E-06,6.1424E-06,35.6067831952,9.9E-09,1.0082739139,27.5
28,0.0002855159,0.0020221507,0,0,0.0002853844,0.0020413716,6.1417E-06,6.1423E-06,34.6338581626,1.25E-08,1.0079246629,28.5
29,0.0003291907,0.0020678113,0,0,0.0003082894,0.0025397414,6.1353E-06,6.1433E-06,33.6614174147,1.56E-08,1.0075398653,29.5
30,0.0003767341,0.0021134718,0,2.53515E-05,0.0003199109,0.0030896633,6.1424E-06,0.0082101425,32.8243447804,2.53683E-05,10.5427834482,30.5
31,0.0004282996,0.0021591324,0,3.09702E-05,0.0003181866,0.0036765382,6.1423E-06,0.0084333801,32.1225846477,3.10074E-05,10.2624390591,31.5
32,0.0004840405,0.002204793,0,3.65889E-05,0.0002974119,0.0042967005,6.1426E-06,0.008531238,31.420955718,3.66578E-05,9.854656073,32.5
33,0.0005441102,0.002626744,0,4.58435E-05,0.0003577008,0.0049801554,6.1432E-06,0.0092219197,30.7263772415,4.59289E-05,10.0614322559,33.5
34,0.0006086622,0.003048695,0,0.000055098,0.0004090099,0.0057685166,6.1435E-06,0.0095693159,30.0422338806,5.52036E-05,9.9121100344,34.5
35,0.0006778498,0.0034706459,0,5.95899E-05,0.0004538945,0.0066635409,6.1424E-06,0.0089590445,29.3486656588,5.97017E-05,8.908031038,35.5
36,0.0007518264,0.0038925969,0,6.81596E-05,0.000493204,0.0076672331,6.1425E-06,0.0089072887,28.6397804064,6.82972E-05,8.4424634112,36.5
37,0.0008307454,0.0043145479,0,7.67292E-05,0.0005269163,0.0087787278,6.1434E-06,0.0087591676,27.9225818243,7.68974E-05,7.9108366857,37.5
38,0.0009147602,0.0049968265,0,0.0001037542,0.0006078416,0.0100077701,6.1425E-06,0.0103923873,27.2200848195,0.0001040094,8.7158760543,38.5
39,0.0010040242,0.005679105,0,0.0001307792,0.0006806425,0.0113646025,6.1443E-06,0.0115384306,26.549145118,0.0001311361,9.0332800653,39.5
40,0.0010986907,0.0063613836,0,0.0001730416,0.0007484572,0.0128348046,6.1429E-06,0.0135254732,25.9127610325,0.000173606,9.8006834397,40.5
