"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,1.2225E-06,0,1.7575E-06,2.2946E-06,6.826E-07,6.1427E-06,1.14693677,0.8896679494,9.294E-07,306.8590399027,0.5
1,0,1.4428E-06,0,1.7575E-06,2.2946E-06,1.5962E-06,6.1427E-06,1.14693677,0.932812685,1.8757E-06,662.9008370726,1.5
2,0,1.7029E-06,0,1.7575E-06,2.3643E-06,1.9355E-06,6.1427E-06,1.0892647842,1.0218927933,2.1309E-06,3074.3877154966,2.5
3,0,2.0099E-06,0,2.0592E-06,2.4339E-06,2.1564E-06,6.1426E-06,1.0315927985,1.1783682201,2.2413E-06,11070.5276200242,3.5
4,0,2.3721E-06,0,0.000002361,2.5267E-06,2.3778E-06,6.1425E-06,0.9546968175,1.4776398417,0.000002288,19518.9684852732,4.5
5,0,2.7997E-06,0,2.6627E-06,2.6427E-06,0.000002669,6.1424E-06,0.8585768413,2.0366605087,2.3116E-06,20183.2901178072,5.5
6,0,3.3044E-06,0,2.9645E-06,2.7048E-06,3.0371E-06,6.1424E-06,0.7568251322,3.0297194619,2.3169E-06,15282.616980021,6.5
7,0,3.9001E-06,0,3.2663E-06,2.7132E-06,0.000003466,6.1423E-06,0.6494416903,4.6621094611,2.2665E-06,10418.0161659495,7.5
8,0,4.6031E-06,0,0.000002613,2.6677E-06,3.9679E-06,6.1423E-06,0.5364265156,7.0533391863,0.000002141,7499.8585482075,8.5
9,0,5.4328E-06,0,1.9598E-06,2.5685E-06,4.5755E-06,6.1423E-06,0.417779608,10.0598533629,1.9209E-06,5588.8804249799,9.5
10,0.000003,0.000006412,0,1.3065E-06,2.4154E-06,5.3478E-06,6.1424E-06,0.2935009675,13.1305738167,1.5756E-06,3955.1873319458,10.5
11,0.000006,7.5678E-06,0,6.533E-07,2.3979E-06,6.3837E-06,6.1424E-06,0.1953757472,15.6209157683,1.2509E-06,2677.6944178156,11.5
12,0.000009,8.9318E-06,0,0,0.000002516,7.7988E-06,6.1424E-06,0.123403947,17.233327642,9.644E-07,1665.4468669548,12.5
13,0.000012,1.05417E-05,0,3.465E-07,2.7697E-06,9.6849E-06,6.1424E-06,0.077585567,18.0056266066,7.524E-07,967.7077949348,13.5
14,0.000015,1.24418E-05,0,6.931E-07,0.000003159,1.20758E-05,6.1423E-06,0.057920607,18.236194851,7.001E-07,633.738630405,14.5
15,0.000018,1.46842E-05,0,1.0396E-06,3.6838E-06,1.48847E-05,6.1422E-06,0.0644090672,18.3566980338,9.597E-07,599.5360850323,15.5
16,0.000021,1.73308E-05,0,1.3862E-06,4.2912E-06,1.80473E-05,6.1421E-06,0.0698312209,18.5987558237,1.2615E-06,548.509580332,16.5
17,0.000024,2.04542E-05,0,1.7327E-06,0.000004981,0.000021608,6.1421E-06,0.0741870681,18.9530897611,1.6046E-06,498.6079201534,17.5
18,0.000027,2.41404E-05,0,2.2336E-06,5.7534E-06,2.56136E-05,0.000006142,0.0774766088,19.4104418138,1.9863E-06,459.614207439,18.5
19,0.00003,2.84908E-05,0,2.7344E-06,6.6081E-06,3.01149E-05,0.000006142,0.079699843,19.9606979053,2.4024E-06,429.627317144,19.5
20,0.000033,3.36248E-05,0,3.2353E-06,7.5454E-06,3.51689E-05,0.000006142,0.0808567707,20.5920601547,2.8462E-06,404.9706124509,20.5
21,0.000036,3.96837E-05,0,3.7362E-06,8.7728E-06,4.09557E-05,0.000006142,0.0802228722,21.2823610002,3.2885E-06,379.1342174628,21.5
22,0.000039,4.68338E-05,0,4.2371E-06,1.02903E-05,4.77869E-05,0.000006142,0.0777981475,21.9965541353,0.000003721,349.9576136042,22.5
23,0.000042,5.52715E-05,0,0.000004222,1.20979E-05,5.59971E-05,0.000006142,0.0735825966,22.6927523967,0.000004124,315.8686098883,23.5
24,0.000045,6.52283E-05,0,4.2069E-06,1.41956E-05,6.59593E-05,6.1421E-06,0.0675762195,23.3220743933,0.000004461,276.6844806401,24.5
25,0.000048,7.69775E-05,0,4.1918E-06,1.65835E-05,7.81062E-05,6.1421E-06,0.0597790162,23.8294350807,4.6727E-06,232.781569622,25.5
26,0.000051,9.08409E-05,0,4.1768E-06,1.95466E-05,9.29494E-05,6.1422E-06,0.0534984536,24.1961243736,4.9761E-06,197.0490848654,26.5
27,0.000054,0.0001071985,0,4.1617E-06,0.000023085,0.0001110264,6.1422E-06,0.0487345315,24.4464656629,5.4143E-06,168.4440783957,27.5
28,0.000057,0.0001264978,0,5.3929E-06,2.71986E-05,0.0001328354,6.1422E-06,0.0454872501,24.6096209231,0.000006046,146.1461118683,28.5
29,0.00006,0.0001492665,0,6.6241E-06,3.18876E-05,0.0001588127,6.1422E-06,0.0437566093,24.7183303082,6.9531E-06,129.7553974329,29.5
30,7.33333E-05,0.0001761261,0,7.8553E-06,3.71518E-05,0.0001893022,6.1422E-06,0.0435426091,24.8079835327,8.2473E-06,118.7168948565,30.5
31,8.66667E-05,0.0002078088,0,9.0865E-06,4.34888E-05,0.0002249142,6.1421E-06,0.0434480237,24.898503079,9.7774E-06,108.8863807343,31.5
32,0.0001,0.0002451768,0,1.03177E-05,5.08986E-05,0.0002665772,6.1421E-06,0.043472853,24.9929985003,1.15951E-05,100.4557384065,32.5
33,0.0001133333,0.0002892448,0,1.34775E-05,5.93813E-05,0.0003151842,6.1421E-06,0.0436170971,25.0947218051,1.37547E-05,93.4309810136,33.5
34,0.0001266667,0.0003412065,0,1.66373E-05,6.89367E-05,0.0003715877,6.1421E-06,0.0438807559,25.2071031923,0.000016314,87.4133796388,34.5
35,0.00014,0.000402465,0,0.000019797,0.000079565,0.0004365949,6.1421E-06,0.0442638294,25.3338041472,1.93352E-05,81.9990449417,35.5
36,0.0001533333,0.0004746692,0,2.29568E-05,9.22954E-05,0.000511623,6.1421E-06,0.0441321404,25.470571857,2.25904E-05,75.7943547905,36.5
37,0.0001666667,0.0005597542,0,2.61166E-05,0.0001071278,0.0005987827,6.1421E-06,0.0434856888,25.6046260934,2.60513E-05,68.8083130851,37.5
38,0.00018,0.0006599895,0,2.93908E-05,0.0001240623,0.000700285,6.1421E-06,0.0423244747,25.7224796015,2.96533E-05,61.1955241129,38.5
39,0.0001933333,0.0007780333,0,3.26649E-05,0.0001430988,0.0008184854,0.000006142,0.0406484981,25.809938694,3.32854E-05,53.3974092913,39.5
40,0.0002066667,0.0009169949,0,3.59391E-05,0.0001642374,0.0009559427,6.1419E-06,0.038457759,25.8521597897,3.67792E-05,45.8058249213,40.5
