"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Males, Disease: Stroke (Rates * ), sex: Males",,,,,,,,,,,,
"Written 10/09/2015, 15:21:17",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,2.223E-07,1.109E-07,0,0.0044784297,20.0585997143,5E-10,63.1437957883,6.5
7,0,0,0,0,0.000000667,5.582E-07,0,0.013435289,19.2348705404,7.5E-09,139.9371377108,7.5
8,0,0,0,0,0.000001334,1.5603E-06,0,0.026870578,18.61644784,0.000000042,243.2524040137,8.5
9,0,0,0,0,2.2233E-06,3.3083E-06,0,0.0447842967,18.2774292549,1.485E-07,406.1398981192,9.5
10,0.000003,0,0,0,3.3349E-06,5.9374E-06,0,0.067176445,18.3013878152,0.0000004,655.328940584,10.5
11,0.000006,0,0,9.591E-07,4.3199E-06,9.3653E-06,1E-10,0.0859959421,18.7197394839,8.075E-07,903.2188198839,11.5
12,0.000009,0,0,1.1989E-06,5.1784E-06,1.33267E-05,4E-10,0.101242788,19.5102189452,1.3525E-06,1067.967166498,12.5
13,0.000012,0,0,1.9547E-06,5.9104E-06,1.75784E-05,9E-10,0.1129169827,20.6620725911,1.9891E-06,1059.9891019813,13.5
14,0.000015,0,0,2.7105E-06,6.5157E-06,2.19218E-05,1.4E-09,0.1210185262,22.1680712679,2.6577E-06,917.259610778,14.5
15,0.000018,0,0,3.4663E-06,6.9945E-06,2.62154E-05,2.2E-09,0.1255474185,24.0163765356,3.2961E-06,727.3497887299,15.5
16,0.000021,0,0,4.2221E-06,9.2587E-06,3.12999E-05,2.482E-07,0.1247469093,26.1580495426,3.9115E-06,545.6578270132,16.5
17,0.000024,0,0,4.9779E-06,1.33085E-05,3.89597E-05,7.397E-07,0.1186169986,28.486149793,4.6315E-06,403.7440123819,17.5
18,0.000027,0,0,4.9202E-06,1.91436E-05,0.000050954,1.4764E-06,0.1071576863,30.8404858833,5.4732E-06,302.3493337294,18.5
19,0.00003,0,0,4.8625E-06,2.67643E-05,6.91654E-05,2.4586E-06,0.0903689726,33.0017412031,6.2644E-06,224.1197647151,19.5
20,0.000033,0.0002327323,0,4.8048E-06,3.61704E-05,9.58442E-05,0.000003686,0.0682508573,34.698410721,0.000006553,155.6082679065,20.5
21,0.000036,0.0002327323,0,4.7471E-06,4.35987E-05,0.0001315288,0.000004668,0.0502110113,35.8017444893,0.000006612,108.5203478623,21.5
22,0.000039,0.0002327323,0,4.6895E-06,4.90492E-05,0.0001747502,5.4043E-06,0.0362494347,36.3794984465,6.3393E-06,75.5329428977,22.5
23,0.000042,0.0002327323,0,5.0053E-06,0.000052522,0.0002239692,5.8951E-06,0.0263661273,36.5396934953,5.9079E-06,53.2427874082,23.5
24,0.000045,0,0,5.3211E-06,0.000054017,0.0002773239,6.1404E-06,0.0205610891,36.4148906153,5.7038E-06,40.2803450351,24.5
25,0.000048,0,0,5.6369E-06,5.35341E-05,0.0003324259,6.1401E-06,0.0188343203,36.1491065811,6.2624E-06,35.6773117822,25.5
26,0.000051,0.0002327323,0,5.9528E-06,5.80974E-05,0.0003904188,6.1399E-06,0.0174415486,35.8218824292,6.8108E-06,31.9075665491,26.5
27,0.000054,0.0017454922,0,6.2686E-06,6.77067E-05,0.0004564263,6.1396E-06,0.0163827739,35.4451394543,7.4789E-06,28.8785647952,27.5
28,0.000057,0.00131072,0,8.1628E-06,8.23621E-05,0.0005355915,6.1393E-06,0.0156579963,35.0308652702,8.3878E-06,26.5058479581,28.5
29,0.00006,0.0014597976,0,0.000010057,0.0001020636,0.000633074,6.1391E-06,0.0152672158,34.5909799265,9.6671E-06,24.7077503372,29.5
30,7.33333E-05,0.001625683,0,1.19511E-05,0.0001268111,0.0007540291,6.1388E-06,0.0152104323,34.1372405734,1.14714E-05,23.4022589415,30.5
31,8.66667E-05,0.0018102356,0,1.38453E-05,0.0001504524,0.0009007027,6.1386E-06,0.0150759221,33.6742064726,1.35815E-05,21.9330851659,31.5
32,0.0001,0.0020155123,0,1.57395E-05,0.0001729875,0.0010723702,6.1385E-06,0.014863685,33.1993932178,1.59423E-05,20.3214990084,32.5
33,0.0001133333,0.0022437858,0,1.83031E-05,0.0001944164,0.0012683359,6.1384E-06,0.0145737212,32.710438371,1.84875E-05,18.604219468,33.5
34,0.0001266667,0.0024975654,0,2.08667E-05,0.0002147391,0.0014879454,6.1384E-06,0.0142060305,32.2050854616,2.11411E-05,16.8517723986,34.5
