"agegroup","diabtotr.cvdlag","mean.rr","ci.rr"
"<1   ","1",1,1
"<1   ","2",1,1
"01-04","1",1,1
"01-04","2",1,1
"05-09","1",1,1
"05-09","2",1,1
"10-14","1",1,1
"10-14","2",1,1
"15-19","1",1,1
"15-19","2",1,1
"20-24","1",1,1
"20-24","2",2.51,2.8
"25-29","1",1,1
"25-29","2",2.51,2.8
"30-34","1",1,1
"30-34","2",2.51,2.8
"35-39","1",1,1
"35-39","2",2.51,2.8
"40-44","1",1,1
"40-44","2",2.51,2.8
"45-49","1",1,1
"45-49","2",2.51,2.8
"50-54","1",1,1
"50-54","2",2.51,2.8
"55-59","1",1,1
"55-59","2",2.51,2.8
"60-64","1",1,1
"60-64","2",2.01,2.26
"65-69","1",1,1
"65-69","2",2.01,2.26
"70-74","1",1,1
"70-74","2",1.78,2.05
"75-79","1",1,1
"75-79","2",1.78,2.05
"80-84","1",1,1
"80-84","2",1.78,2.05
"85+","1",1,1
"85+","2",1.78,2.05
