site,sex,Under 1,1­4,5­9,10­14,1519,2024,2529,3034,3539,4044,4549,5054,5559,6064,6569,7074,7579,8084,85 and over
C00          ,1,,,,,,,,1,4,4,8,9,10,19,19,30,25,27,17
C00          ,2,,,,,,,,2,,1,2,7,2,5,7,15,16,18,24
C01          ,1,,,,,,,,2,3,15,36,55,88,95,47,41,26,15,3
C01          ,2,,,,,,,1,1,2,3,6,16,21,21,19,16,8,7,6
C02          ,1,,,,,2,1,5,6,15,27,52,92,90,117,83,54,52,39,23
C02          ,2,,,,,,3,1,3,11,20,20,42,58,57,52,47,43,31,52
C03          ,1,,,,,,1,,,2,4,6,8,15,28,27,23,18,14,13
C03          ,2,,,,,,,,1,1,,3,4,10,15,17,19,23,25,27
C04          ,1,,,,,,,,1,1,11,20,26,50,60,31,40,14,4,2
C04          ,2,,,,,,,,,2,5,11,20,16,15,18,19,13,8,8
C05          ,1,,,,,1,1,,1,2,11,15,24,41,42,30,21,10,5,10
C05          ,2,,,,,2,,4,1,3,7,10,12,19,22,22,19,13,19,14
C06          ,1,,,,1,,1,,3,4,10,12,23,32,52,41,29,26,14,14
C06          ,2,,,,1,2,,1,2,3,8,12,13,24,22,23,26,30,25,31
C07          ,1,,,,3,2,4,7,4,5,9,7,14,15,19,29,20,38,32,35
C07          ,2,,,,1,5,4,4,8,9,10,8,16,9,28,21,19,9,22,22
C08          ,1,,,,,1,,,1,3,6,6,1,5,10,9,5,4,4,3
C08          ,2,,,,,,1,1,3,4,2,4,3,8,16,5,9,6,6,6
C09          ,1,,,,,,,2,2,16,42,96,118,135,130,70,50,23,17,10
C09          ,2,,,,,1,,1,2,5,14,34,42,43,61,23,21,8,10,5
C10          ,1,,,,,,,,,3,5,12,23,28,35,39,14,9,10,4
C10          ,2,,,,,,,,,1,1,3,3,11,12,7,3,6,3,2
C11          ,1,,,,,2,2,1,10,3,9,12,17,10,13,9,13,13,10,4
C11          ,2,,1,,,2,2,3,5,2,3,4,4,7,11,2,7,7,1,8
C12          ,1,,,,,1,,,,1,1,11,22,29,31,45,21,13,8,7
