site,sex,Under 1,1­-4,5­-9,10-­14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85
C00          ,1,,,,,,,,2,,7,8,9,10,22,12,27,29,25,22
C00          ,2,,,,,,1,1,,1,2,3,2,6,6,9,10,14,20,17
C01          ,1,,,,,1,,,2,4,11,38,63,78,84,68,56,27,11,11
C01          ,2,,,,,,,1,,3,5,15,15,19,23,18,12,6,6,5
C02          ,1,,,,,,,5,12,20,28,78,76,108,110,53,62,39,32,27
C02          ,2,,,,,,1,4,5,10,16,24,45,44,53,71,63,44,46,37
C03          ,1,,,,,,,,1,3,3,6,15,17,28,18,17,21,14,14
C03          ,2,,1,,1,,,,,,2,3,7,6,10,17,18,29,22,29
C04          ,1,,,,,,,,1,5,6,21,27,46,64,55,30,17,3,10
C04          ,2,,,,,,,1,,,1,13,14,15,16,14,17,13,11,9
C05          ,1,,,,,1,2,1,2,4,5,14,28,29,35,29,21,18,13,6
C05          ,2,,,,1,1,1,1,6,4,3,3,20,15,26,20,15,18,15,11
C06          ,1,,,,,,,1,3,5,8,12,28,38,46,36,35,27,23,22
C06          ,2,,,,,1,,,1,,2,10,15,27,32,25,28,24,24,40
C07          ,1,,,,,1,3,5,2,5,12,14,10,21,28,32,25,31,31,43
C07          ,2,,1,1,3,5,5,4,9,12,13,10,11,17,11,14,19,14,14,25
C08          ,1,,,,1,,,1,2,1,2,8,5,5,6,7,6,8,8,6
C08          ,2,,,,,,1,,3,1,,5,5,11,6,9,9,7,6,9
C09          ,1,,,,,,,,3,7,38,91,123,156,133,74,47,23,8,3
C09          ,2,,,,,,1,4,1,5,11,22,39,50,43,25,21,13,8,4
C10          ,1,,,,,,,,,1,5,12,27,27,35,27,17,10,12,5
C10          ,2,,,,,,,,,,2,2,7,10,12,8,4,5,3,6
C11          ,1,,,1,1,2,4,4,6,7,11,12,14,23,13,9,12,6,5,3
C11          ,2,,1,,2,1,1,,5,1,2,6,5,7,5,9,9,4,2,7
C12          ,1,,,,,,,1,,2,1,11,17,35,51,46,30,14,11,7
C12          ,2,,,,,,,,,,,2,11,9,8,7,9,1,6,1
C13          ,1,,,,,,,,,,5,3,13,23,26,28,17,8,7,7
C13          ,2,,,,,,,1,,,1,2,6,9,7,8,9,8,8,11
C14          ,1,,,1,,,,2,1,1,3,11,10,25,30,21,20,15,7,4
C14          ,2,,,,,,,,,,,1,3,3,7,8,1,6,3,7
