site,sex,Under 1,1ğ4,5ğ9,10ğ14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
C00          ,1,0,0,0,0,0,0,0,2,2,5,9,7,9,16,33,21,29,30,26
C00          ,2,0,0,0,0,0,0,1,0,2,2,0,7,4,8,8,13,15,13,18
C01          ,1,0,0,0,0,0,0,1,0,3,12,35,63,102,76,75,55,29,11,4
C01          ,2,0,0,0,0,0,0,0,0,3,5,8,16,30,32,19,15,10,9,7
C02          ,1,0,0,0,0,1,1,7,10,13,28,52,77,105,128,117,82,58,38,33
C02          ,2,0,0,0,0,0,1,8,6,10,27,28,51,55,56,67,40,66,43,44
C03          ,1,0,0,0,0,0,0,1,4,5,2,6,14,13,20,21,23,26,11,18
C03          ,2,0,0,0,0,0,0,1,1,0,5,2,4,11,19,20,23,20,22,25
C04          ,1,0,0,1,0,0,0,1,0,0,9,30,33,40,49,50,34,11,9,5
C04          ,2,0,0,0,0,0,0,0,0,2,2,9,19,19,21,25,12,11,7,11
C05          ,1,0,0,1,1,0,0,0,2,3,8,19,21,31,38,30,30,15,7,14
C05          ,2,0,0,0,1,0,3,0,2,1,2,8,7,18,13,30,18,23,10,12
C06          ,1,0,0,0,0,0,1,1,5,2,8,20,29,37,41,44,50,31,26,17
C06          ,2,0,0,0,0,0,1,1,4,5,3,14,18,19,23,35,30,25,29,46
C07          ,1,0,0,1,0,3,4,4,5,6,8,14,12,9,20,25,31,31,24,28
C07          ,2,0,0,0,2,0,3,11,5,9,7,12,14,23,15,16,18,8,17,24
C08          ,1,0,0,1,0,0,0,0,3,0,2,4,6,6,6,11,4,4,5,7
C08          ,2,0,0,0,0,0,4,2,4,5,7,12,5,9,7,11,4,5,5,8
C09          ,1,0,0,0,0,0,0,2,2,17,38,108,148,189,161,101,55,33,17,12
C09          ,2,0,0,0,0,0,1,1,3,4,15,23,58,49,43,41,19,15,11,5
C10          ,1,0,0,0,0,0,0,0,0,0,6,11,23,32,45,32,23,7,6,4
C10          ,2,0,0,0,0,0,0,0,1,1,1,6,4,5,11,9,2,9,3,5
C11          ,1,0,0,0,1,1,2,2,8,9,8,14,22,17,15,13,9,8,7,10
C11          ,2,0,1,2,0,1,1,0,2,2,4,6,9,5,4,4,3,5,2,4
C12          ,1,0,0,0,0,0,0,0,2,0,5,14,20,31,36,46,30,18,9,9
C12          ,2,0,0,0,0,0,0,0,0,1,1,1,4,13,9,5,6,8,2,4
C13          ,1,0,0,0,0,0,0,0,0,0,3,4,6,10,21,20,18,9,8,11
C13          ,2,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,9,8,6,10
C14          ,1,0,1,0,0,0,0,0,0,1,2,5,13,27,21,23,12,12,7,6
C14          ,2,0,0,0,0,0,0,0,0,1,0,1,1,5,8,5,6,9,6,7
C15          ,1,0,0,0,0,0,1,4,12,11,49,145,264,396,639,824,749,688,602,500
C15          ,2,0,0,0,0,0,0,0,3,2,10,48,86,144,208,292,291,363,404,508
C16          ,1,1,0,1,0,0,2,4,13,26,54,81,146,214,340,475,598,684,583,496
C16          ,2,0,0,0,0,1,2,11,17,16,37,52,64,89,134,160,245,321,344,426
C17          ,1,0,0,0,0,0,1,2,4,4,14,29,32,41,76,115,82,84,49,54
C17          ,2,0,0,0,0,0,1,1,3,5,7,17,32,39,43,63,58,62,74,73
C18          ,1,0,0,2,6,21,29,34,74,79,126,254,417,681,1312,1696,1901,1939,1727,1494
C18          ,2,0,0,3,12,26,37,61,80,79,136,239,389,562,938,1305,1491,1630,1714,1907
C19          ,1,0,0,0,0,0,0,3,4,3,12,33,70,98,188,197,206,206,176,109
C19          ,2,0,0,0,0,0,0,4,5,3,27,23,34,69,101,97,101,130,120,151
C20          ,1,0,0,0,0,1,0,16,41,44,82,199,341,530,861,963,985,902,701,523
C20          ,2,0,0,0,0,1,8,11,21,43,65,130,204,302,382,437,499,494,457,508
C21          ,1,0,0,0,0,0,0,3,1,4,6,22,34,39,61,55,56,51,27,19
C21          ,2,0,0,0,0,0,1,2,5,5,26,42,66,82,84,74,78,76,63,61
C22          ,1,2,7,0,0,2,3,7,8,18,27,64,137,187,299,365,388,382,330,223
C22          ,2,2,4,0,1,0,3,3,4,8,19,24,50,90,117,155,191,255,229,263
C23          ,1,0,0,0,0,0,0,0,0,4,1,3,5,10,17,23,23,40,36,23
C23          ,2,0,0,0,0,0,0,1,1,0,4,10,10,29,48,59,69,91,85,94
C24          ,1,0,0,0,0,0,0,1,2,2,6,9,17,30,53,75,62,85,59,59
C24          ,2,0,0,0,0,0,0,0,0,1,6,12,20,22,44,52,58,53,72,67
C25          ,1,0,1,0,0,0,2,0,4,17,40,101,168,225,424,607,547,615,495,458
C25          ,2,0,0,0,1,2,1,1,6,21,28,71,124,183,369,449,545,557,554,755
C26          ,1,0,0,0,0,0,0,0,1,2,6,1,13,8,18,24,22,31,47,75
C26          ,2,0,0,0,0,0,0,1,1,2,3,5,6,9,10,19,29,29,50,154
C30          ,1,0,0,0,0,0,2,2,3,6,3,9,12,15,16,21,24,20,13,7
C30          ,2,0,0,1,0,0,0,2,2,1,6,8,12,7,9,18,26,10,10,13
C31          ,1,0,0,0,0,0,1,0,1,3,3,8,11,7,11,16,12,9,7,5
C31          ,2,0,0,0,0,0,0,0,0,2,2,3,0,5,11,10,6,6,6,8
C32          ,1,0,0,0,1,0,1,2,4,8,27,45,101,174,251,290,227,180,118,92
C32          ,2,0,0,0,0,0,0,4,1,6,8,8,25,41,62,54,49,40,25,32
C33          ,1,0,0,0,0,0,0,1,0,0,0,0,1,4,2,2,4,3,3, 
C33          ,2,0,0,0,0,0,0,0,0,0,1,2,1,3,0,4,2,2,2, 
C34          ,1,1,2,0,0,2,3,9,9,31,123,288,581,1205,2177,3165,3507,3404,2668,2352
