"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Females, Disease: Gastric cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 04/06/2016, 16:00:00",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.328077885,0.951279546,0,0,0,0,0,0,0,0,0.5
1,0,0.3281908895,0.7935172984,0,0,0,0,0,0,0,0,0
2,0,0.3285061127,0.4648407543,0,5.3E-09,2.1E-09,0,0.4648332932,3.5023108039,1.1E-09,1009.4478474913,2.5
3,0,0.3289878689,0.1619445582,0,0,3.5E-09,0.3289878687,0.1619445582,4.2824408067,6E-10,1304.9688692746,3.5
4,0,0.3296004725,0.026871243,0,4.6E-09,0.000000005,0,0.0268719626,4.5491349818,1E-10,406.7616994627,4.5
5,0,0.3303082377,0.0061642131,0,0,6.3E-09,0.3303082378,0.0061642131,4.3256530685,0,107.232810571,5.5
6,0,0.3310754791,0.0129844619,0,1.45E-08,1.26E-08,0,0.0129841961,4.0910328857,2E-10,193.3265817342,6.5
7,0,0.3318665109,0.0224624694,0,9.2E-09,2.48E-08,0,0.0224629439,3.1540030167,6E-10,267.4791822765,7.5
8,0,0.3326456474,0.028337714,0,0,2.54E-08,0.3326456475,0.028337714,2.6711170914,7E-10,298.2351310395,8.5
9,0,0.3333772031,0.0368161837,0,0,1.82E-08,0.3333772031,0.0368161837,2.6424630033,7E-10,376.3910930384,9.5
10,0,0.3340254923,0.0529856163,0,0,1.29E-08,0.3340254921,0.0529856163,2.6467719607,7E-10,551.5933108626,10.5
11,0,0.3345548293,0.0649942404,0,0,9.1E-09,0.3345548295,0.0649942403,2.6880361067,6E-10,689.0819268092,11.5
12,0,0.3349295286,0.0616976338,0,0,6.3E-09,0.3349295287,0.0616976339,2.7837085673,4E-10,635.3624049419,12.5
13,0,0.3351139044,0.0517202806,0,0,4.4E-09,0.3351139042,0.0517202806,2.8942964719,2E-10,476.8896736771,13.5
14,0,0.3350722711,0.0463603635,0,0,3.2E-09,0.3350722711,0.0463603635,2.9821113017,1E-10,360.0560819942,14.5
