"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Females",,,,,,,,,,,,
"Written 25/08/2015, 13:32:50",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.328077885,0.161310471,0,0,0,0.328077885,0.161310471,2.0329039118,0,0,0.5
1,0,0.3281908895,0.1612257049,0,0,0,0.3281908895,0.1612257049,0,0,0,1.5
2,0,0.3285061127,0.1609892522,0,0,0,0.3285061127,0.1609892522,0,0,0,2.5
3,0,0.3289878689,0.1606278811,0,0,0,0.3289878689,0.1606278811,0,0,0,3.5
4,1.7E-09,0.3296004725,0.1601683597,0,1.7E-09,7E-10,0.3296004725,0.1601683597,2.0400388938,1E-10,3275.5065657005,4.5
5,3.5E-09,0.3303082377,0.1596374564,0,3.5E-09,2.5E-09,0.3303082378,0.1596374564,2.0392736928,4E-10,3753.5464285421,5.5
6,4.2E-09,0.3310754791,0.1590619394,0,4.2E-09,4.7E-09,0.3310754792,0.1590619394,2.03850742,8E-10,3212.7374683818,6.5
7,2.4E-09,0.3318665109,0.1584685769,0,2.4E-09,5.6E-09,0.3318665108,0.1584685769,2.0377934063,9E-10,2542.8290080433,7.5
8,0,0.3326456474,0.1578841372,0,0,4.5E-09,0.3326456474,0.1578841372,2.0366977177,7E-10,2208.1071755424,8.5
9,0,0.3333772031,0.1573353884,0,0,2.9E-09,0.3333772031,0.1573353884,2.0367203689,4E-10,2105.390257697,9.5
10,0,0.3340254923,0.1568490988,0,0,1.8E-09,0.3340254923,0.1568490988,2.0364575923,3E-10,2114.1471039629,10.5
11,0,0.3345548293,0.1564520367,0,0,1.2E-09,0.3345548293,0.1564520367,2.0361654655,2E-10,2144.4302837917,11.5
12,0,0.3349295286,0.1561709702,0,0,8E-10,0.3349295286,0.1561709702,2.0361128228,1E-10,2107.40168666,12.5
13,1.34E-08,0.3351139044,0.1560326677,0,1.34E-08,5.8E-09,0.3351139044,0.1560326677,2.0362919025,0.000000001,1945.1502075536,13.5
14,4.48E-08,0.3350722711,0.1560638973,0,4.48E-08,2.68E-08,0.3350722711,0.1560638974,2.0366560895,4.4E-09,1705.8795191844,14.5
15,6.94E-08,0.3347689431,0.1562914273,0,6.94E-08,6.27E-08,0.3347689429,0.1562914272,2.0371803761,0.00000001,1453.3740671148,15.5
16,7.18E-08,0.3341682347,0.1567420259,0,7.18E-08,9.63E-08,0.3341682352,0.1567420261,2.0377949261,1.53E-08,1229.931124922,16.5
17,3.66E-08,0.3332344603,0.1574424613,0,3.66E-08,1.048E-07,0.3332344603,0.1574424612,2.0383579523,1.64E-08,1057.0414045566,17.5
18,0,0.3319319343,0.1584195018,0,0,8.14E-08,0.3319319343,0.1584195018,2.0386070402,1.26E-08,938.7466999612,18.5
19,0,0.3302249709,0.1596999156,0,0,5.18E-08,0.3302249711,0.1596999157,2.0380839542,8.1E-09,859.8692749255,19.5
20,0,0.3280778846,0.161310471,0,0,3.31E-08,0.3280778845,0.1613104709,2.0359274551,5.2E-09,806.9274338884,20.5
21,0,0.3254673018,0.1632686001,0,0,2.12E-08,0.3254673018,0.1632686002,2.0309587237,3.4E-09,770.5740960757,21.5
22,0,0.3224190975,0.1655543911,0,0,1.36E-08,0.3224190974,0.1655543912,2.0281648387,2.2E-09,743.5815026605,22.5
23,1.909E-07,0.3189714586,0.1681385962,6.553E-07,1.984E-07,8.71E-08,0.3179972384,0.1727751113,2.0077043406,1.61E-08,740.3250801944,23.5
24,7.141E-07,0.3151625724,0.1709919675,1.3105E-06,7.514E-07,4.321E-07,0.312589662,0.1820736609,1.9939828977,8.26E-08,743.7891499421,24.5
