"DisMod II input and output, database England 2006",,,,,,,,,,,,
"Males, Disease: Gastric cancer (Rates * ), sex: Males",,,,,,,,,,,,
"Written 04/06/2016, 15:53:31",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,0.5
1,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,1.5
2,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,2.5
3,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,3.5
4,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,4.5
5,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,5.5
6,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,6.5
7,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,7.5
8,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,8.5
9,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,9.5
10,0,0.2640268479,0.208944407,0,0,0,0,0,0,0,0,10.5
11,0,0.2640268479,0.208944407,0,1.305E-07,0.000000037,0.264025979,1,1.8672326274,4.46E-08,7038.3387691645,11.5
12,0,0.2640268479,0.208944407,0,0,6.63E-08,0.2640268479,1.7E-09,0,0,0,0
13,0,0.2640268479,0.208944407,0,0,5.17E-08,0.2640268479,2.3E-09,0,0,1.0000130108,0
14,0,0.2640268479,0.208944407,0,0,4.04E-08,0.2640268479,1.2E-09,0,0,1.0000053909,0
15,0,0.2640268479,0.208944407,0,1.305E-07,0.00000006,0.2640259248,1,1.9336852088,0.000000065,3541.0750792245,15.5
16,0,0.2640268479,0.208944407,0,0,7.53E-08,0.2640268479,8.8E-09,0,0,1.0000240651,0
17,0,0.2640268479,0.208944407,0,0,5.87E-08,0.2640268479,3.96E-08,0,0,1.0000860939,0
18,0,0.2640268479,0.208944407,0,0,4.58E-08,0.2640268479,4.4E-09,0,0,1.0000081557,0
19,0,0.2640268479,0.208944407,0,1.305E-07,0.000000063,0.2640258707,1,2.4604282196,6.77E-08,1672.8428290032,19.5
20,0,0.2640268479,0.208944407,0,0,7.65E-08,0.2640268479,2.8E-09,0,0,1.0000043711,0
21,0,0.2578493782,0.2143431236,0,0,5.97E-08,0.2578493782,2E-10,0,0,0,0
22,0,0.2516719085,0.2197418401,0,0,0.000000047,0.2516719085,1.6E-09,0,0,0,0
23,0,0.2454944388,0.2251405567,0,0,3.73E-08,0.2454944388,5E-10,0,0,1.000000794,23.5
24,0,0.2393169691,0.2305392732,0,0,2.99E-08,0.2393169691,3.1E-09,0,0,1.0000046103,24.5
25,0,0.2331394994,0.2359379898,0,0,2.41E-08,0.2331394994,5.6E-09,0,0,0,0
26,0,0.2269620297,0.2413367064,0,0,1.96E-08,0.2269620297,1.2E-09,0,0,1.000001724,0
27,0,0.2207845599,0.2467354229,0,0,1.61E-08,0.2207845599,1.32E-08,0,0,1.0000177496,0
28,0,0.2146070902,0.2521341395,0,0,1.33E-08,0.2146070902,3.99E-08,0,0,1.0000514264,0
29,0,0.2084296205,0.257532856,0,0,1.11E-08,0.2084296205,2.7E-09,0,0,1.0000033734,29.5
