"DisMod II input and output, database England Wales 2011",,,,,,,,,,,,
"Disease: Gastric cancer (Rates), sex: Males",,,,,,,,,,,,
"Written 25/08/2015, 13:31:08",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.2640268479,0.1126669794,0,1.9E-09,8E-10,0.2714839957,0.106321638,2.5342727387,1E-10,22.2089720637,0.5
1,0,0.2640268479,0.1126669794,0,1.9E-09,2.2E-09,0.2714839957,0.106321638,2.4939183137,2E-10,49.1809318668,1.5
2,0,0.2640268479,0.1126669794,0,2.1E-09,3.2E-09,0.2789224653,0.1089900615,2.4419309721,3E-10,263.6060447294,2.5
3,0,0.2640268479,0.1126891858,0,2.2E-09,0.000000004,0.2863609348,0.1116584849,2.3921615166,4E-10,1054.6619148072,3.5
4,1.9E-09,0.2640268479,0.1127706093,4E-10,2.5E-09,4.7E-09,0.2962788942,0.1152163829,2.3518249176,5E-10,1968.3285964607,4.5
5,0.000000004,0.2640268479,0.1128789497,0.000000001,2.8E-09,5.3E-09,0.3086763435,0.1196637554,2.3347754415,6E-10,2136.4476928322,5.5
6,4.8E-09,0.2640268479,0.1129637378,1.1E-09,3.6E-09,6.2E-09,0.3152963018,0.1223850491,2.3477455945,8E-10,1699.245157919,6.5
7,2.7E-09,0.2640268479,0.1130626573,6E-10,0.000000005,7.6E-09,0.3161387692,0.123380264,2.3851157846,9E-10,1276.9011533272,7.5
8,0,0.2640268479,0.1131757081,0,0.000000007,9.9E-09,0.3112037457,0.1226494002,2.4380831804,1.2E-09,1106.7488991804,8.5
9,0,0.2640268479,0.1133028903,0,9.5E-09,1.34E-08,0.3004912313,0.1201924576,2.4917582412,1.6E-09,1088.3177351721,9.5
10,0,0.2640268479,0.1134442038,0,1.25E-08,1.82E-08,0.2840012259,0.1160094363,2.5219435218,2.1E-09,1130.984349617,10.5
11,0,0.2640268479,0.1136097483,0,1.64E-08,2.47E-08,0.2739102836,0.1138733226,2.515395444,2.8E-09,1195.6918908544,11.5
12,0,0.2640268479,0.1137853926,0,0.000000021,3.29E-08,0.2702184046,0.1137841166,2.4802936533,3.8E-09,1200.1364402138,12.5
