"DisMod II input and output, database England 2006",,,,,,,,,,,
"Females, Disease: Lung cancer (Rates * ), sex: Females",,,,,,,,,,,
"Written 04/06/2016, 14:37:34",,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.348814376,0,0,0,0,0,0,0,0,0.5
1,0,0.3490360889,0,0,0,0,0,0,0,0,1.5
2,0,0.3496545513,0,0,0,0,0,0,0,1,2.5
3,0,0.3505997485,0,0,0,0,0,0,0,0,3.5
4,0,0.3518016659,0,0,0,0,0,0,0,0,4.5
5,0,0.3531902889,0,0,0,0,0,0,0,1,5.5
6,0,0.3546956029,0,0,0,0,0,0,0,0,0
7,0,0.3562475934,0,0,0,0,0,0,0,0,7.5
8,0,0.3577762456,0,0,0,0,0,0,0,0,0
9,0,0.3592115451,0,0,0,0,0,0,0,0,9.5
10,0,0.3604834771,0,0,0,0,0,0,0,0,10.5
11,0,0.3615220271,0,0,0,0,0,0,0,1,11.5
12,0,0.3622571805,0,0,0,0,0,0,0,0,0
13,0,0.3626189226,0,0,0,0,0,0,0,0,13.5
14,0,0.3625372389,0,0,0,0,0,0,0,0,14.5
15,0,0.3619421147,0,0,0,0,0,0,0,0,15.5
16,0,0.3607635355,0,0,0,0,0,0,0,0,16.5
17,0,0.3589314866,0,0,0,0,0,0,0,0,0
18,0,0.3563759535,0,0,0,0,0,0,0,0,0
19,0,0.3530269215,0,0,0,0,0,0,0,0,19.5
20,0,0.348814376,0,0,0,0,0,0,0,1,20.5
21,0,0.3436914076,0,0,0,0,0,0,0,1,21.5
22,0,0.3377035274,0,0,0,0,0,0,0,1,22.5
23,0,0.3309193519,0,0,0,0,0,0,0,1,23.5
24,0,0.3234074975,0,0,0,0,0,0,0,1,24.5
25,0,0.3152365803,0,0,0,0.3152365803,0,2.8273522971,0,1,25.5
26,0,0.306475217,0,0,0,0.306475217,0,0,0,1,0
27,0,0.2971920237,0,0,0,0.2971920237,0,0,0,1,27.5
28,0,0.2874556169,0,0,0,0.2874556169,0,0,0,1,28.5
29,0,0.277334613,0,0,0,0.277334613,0,0,0,1,29.5
30,4.1499E-06,0.2668976282,2.4843E-06,4.9664E-06,1.4102E-06,0.2627485588,0.999999999,0.9121128569,1.6994E-06,2617.8506300268,30.5
31,5.5407E-06,0.256213279,2.9953E-06,5.5881E-06,3.5747E-06,0.2562133143,0.8058096106,1.052678429,2.9953E-06,1994.2916371059,31.5
32,7.1968E-06,0.2453501818,3.7351E-06,7.1968E-06,5.3495E-06,0.2453501818,0.6779235057,1.1476444826,3.7351E-06,1567.9122911054,32.5
33,9.1038E-06,0.2343769529,0.000004755,9.1039E-06,7.5307E-06,0.2343769529,0.6168259645,1.1869128143,0.000004755,1312.3765195185,33.5
34,1.13062E-05,0.2233622086,6.1134E-06,1.13063E-05,1.00553E-05,0.2233622086,0.5963458179,1.1787674093,6.1134E-06,1152.7900401727,34.5
35,1.35861E-05,0.2123745653,8.0613E-06,1.35863E-05,1.26477E-05,0.2123745653,0.6277651079,1.143187418,8.0613E-06,1094.536101863,35.5
36,1.66197E-05,0.2014826395,1.03455E-05,1.66199E-05,1.53043E-05,0.2014826395,0.666205189,1.1028883277,1.03455E-05,1045.4700868774,36.5
37,2.02494E-05,0.1907550474,1.31769E-05,2.02498E-05,1.82664E-05,0.1907550474,0.7111586695,1.0604547879,1.31769E-05,1007.5574901903,37.5
38,2.45862E-05,0.1802604054,1.66287E-05,2.45867E-05,2.15875E-05,0.1802604054,0.7594035155,1.0177235364,1.66287E-05,978.1005386637,38.5
39,2.99134E-05,0.17006733,2.09043E-05,2.99142E-05,2.53716E-05,0.17006733,0.8119841482,0.975801041,2.09043E-05,956.0988485034,39.5
40,3.67148E-05,0.1602444374,0.000026277,3.67159E-05,2.98438E-05,0.1602444374,0.866847251,0.9365839963,0.000026277,935.9399580613,40.5
41,4.54052E-05,0.150860344,3.31935E-05,4.54068E-05,3.52824E-05,0.150860344,0.9251057747,0.9039275526,3.31935E-05,916.2629246808,41.5
42,0.000056471,0.1419836662,4.19445E-05,5.64733E-05,4.20126E-05,0.1419836662,0.9803060481,0.8867545547,4.19445E-05,888.7060061725,42.5
43,7.03637E-05,0.1336830204,5.28574E-05,7.08299E-05,5.10345E-05,0.1335985924,1,0.8872410705,0.000052121,826.3728489068,43.5
44,8.72506E-05,0.1260270229,6.59828E-05,8.81393E-05,6.32464E-05,0.1258914733,1,0.8947539486,6.46565E-05,750.6628046609,44.5
45,0.0001075285,0.1190842901,8.10917E-05,0.0001081247,7.84683E-05,0.119028289,1,0.9059514045,8.01524E-05,680.3937449082,45.5
46,0.0001301486,0.1129020037,9.79499E-05,0.0001301611,9.61878E-05,0.1129020037,0.9984078463,0.9284304991,9.79499E-05,615.174270727,46.5
47,0.0001553996,0.107441607,0.0001163173,0.0001554178,0.0001173592,0.107441607,0.9719408412,0.9665044728,0.0001163173,542.575209048,47.5
48,0.0001831751,0.1026431086,0.0001359938,0.0001832014,0.0001434987,0.1026431086,0.9300509312,1.0126873436,0.0001359938,471.1316884788,48.5
49,0.0002139024,0.0984465171,0.0001576713,0.0002139399,0.0001751834,0.0984465171,0.8842811246,1.0581812355,0.0001576713,407.2704776426,49.5
50,0.0002451896,0.0947918411,0.0001801622,0.0002452416,0.0002122584,0.0947918411,0.8353606717,1.0891550787,0.0001801622,350.5486687987,50.5
51,0.000284196,0.0916190892,0.0002101666,0.0002842683,0.0002542597,0.0916190892,0.8145369094,1.0964776803,0.0002101666,312.1200843019,51.5
52,0.0003290072,0.0888682701,0.0002468941,0.0003291061,0.000300453,0.0888682701,0.8107293164,1.0855209446,0.0002468941,284.3544754223,52.5
53,0.0003805454,0.0864793924,0.0002918499,0.0003806784,0.000349381,0.0864793924,0.825027869,1.0609610103,0.0002918499,265.4933936175,53.5
54,0.0004385976,0.0843924647,0.0003444321,0.0004387729,0.0003996437,0.0843924647,0.8519709705,1.0300766287,0.0003444321,251.965426589,54.5
55,0.0005008844,0.0825474956,0.0004044607,0.0005011095,0.000449154,0.0825474956,0.8911128437,1.0029433124,0.0004044607,242.398656149,55.5
56,0.000567746,0.0808894799,0.0004644526,0.0005680293,0.0004987814,0.0808894799,0.92163473,0.9892615489,0.0004644526,230.5955445506,56.5
57,0.0006369731,0.0793833574,0.0005237568,0.000637325,0.0005522124,0.0793833574,0.9386463485,0.9923638214,0.0005237568,215.841318872,57.5
58,0.0007072357,0.077999054,0.0005796966,0.0007076693,0.0006127002,0.077999054,0.936018639,1.0141705318,0.0005796966,197.5182927026,58.5
59,0.0007786984,0.0767064956,0.0006328466,0.0007792311,0.0006836461,0.0767064956,0.915517275,1.0546539565,0.0006328466,177.0013150147,59.5
60,0.0008402004,0.0754756081,0.0006692046,0.0008408473,0.0007693423,0.0754756081,0.8601327097,1.09858859,0.0006692046,152.1381679839,60.5
61,0.0009179203,0.0742763175,0.0007268587,0.000918719,0.0008693629,0.0742763175,0.827149869,1.1274252974,0.0007268587,133.6114052253,61.5
62,0.0010018536,0.0730785497,0.0007932513,0.0010028354,0.0009790209,0.0730785497,0.8021419423,1.1437652094,0.0007932513,118.1290885957,62.5
63,0.0010936184,0.0718522306,0.0008720646,0.0010948165,0.001094326,0.0718522306,0.789555631,1.1461667848,0.0008720646,105.8251333148,63.5
64,0.0011929873,0.0705672862,0.0009627862,0.0011944336,0.0012108761,0.0705672862,0.7884129993,1.1367623557,0.0009627862,96.0329012932,64.5
65,0.0012970152,0.0691936423,0.0010704351,0.0012987308,0.0013210247,0.0691936423,0.8043414985,1.1243159222,0.0010704351,88.9236787972,65.5
