"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Lung cancer (Rates * ), sex: Females",,,,,,,,,,,,
"Written 18/02/2016, 20:41:24",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,1.8461E-06,0.348814376,0.1676378,0,1.8705E-06,7.893E-07,0.3491676253,0.0002024335,3.0143582834,2E-10,1.0539838922,0.5
1,1.8779E-06,0.3490360889,0.1674962385,0,1.8129E-06,2.1059E-06,0.3405747066,0.0001823347,3.0732460467,4E-10,1.1052259103,1.5
2,1.8885E-06,0.3496545513,0.1671013563,0,1.6981E-06,3.0004E-06,0.319383249,0.0002169127,3.0966615088,7E-10,1.6120246344,2.5
3,1.7549E-06,0.3505997485,0.1664978571,1E-10,1.5286E-06,3.5867E-06,0.2986609035,0.0002221637,3.0499335452,8E-10,3.3839321014,3.5
4,1.4489E-06,0.3518016659,0.1657304445,2E-10,1.2826E-06,3.8874E-06,0.29324295,0.000049422,2.9379541698,2E-10,2.0103912754,4.5
5,1.0364E-06,0.3531902889,0.1648438223,4E-10,9.549E-07,3.8504E-06,0.3125659603,0,2.8074990934,0,0,5.5
6,5.876E-07,0.3546956029,0.163882694,4E-10,6.061E-07,0.000003466,0.3444716739,0,2.7122304674,0,1,6.5
7,1.728E-07,0.3562475934,0.1628917632,2E-10,3.135E-07,0.00000285,0.3714031219,7.49976E-05,2.6746203844,2E-10,2.2029589259,7.5
8,0,0.3577762456,0.1619157336,0,1.358E-07,2.1884E-06,0.380010127,0.0015238892,2.6823411049,3.3E-09,22.3028796491,8.5
9,0,0.3592115451,0.160999309,0,5.74E-08,1.6241E-06,0.3737696777,0.0022513268,2.7025903664,3.6E-09,31.1119171724,9.5
10,0,0.3604834771,0.1601871928,0,4.43E-08,0.000001209,0.3603655542,0.0002429032,2.698828012,3E-10,4.2725094149,10.5
11,0,0.3615220271,0.1595240887,0,7.03E-08,9.365E-07,0.3471929361,0,2.6466183143,0,0,11.5
12,0,0.3622571805,0.1590547005,0,0.000000141,7.889E-07,0.3404926004,0,2.5401955085,0,1,12.5
13,0.000000151,0.3626189226,0.1588237317,1.2E-09,2.697E-07,7.635E-07,0.3462167237,0.0018062428,2.3897314975,1.4E-09,23.5055903042,13.5
14,0.000000508,0.3625372389,0.1588758859,3.9E-09,4.693E-07,8.613E-07,0.366888329,0.02294456,2.241979358,1.99E-08,251.6518878066,14.5
15,9.073E-07,0.3619421147,0.1592558669,0.000000006,7.513E-07,1.0923E-06,0.391313826,0.0329296265,2.1304066594,3.63E-08,307.0061354252,15.5
16,0.000001312,0.3607635355,0.1600083782,6.2E-09,1.1264E-06,1.5047E-06,0.404870471,0.0019697815,1.9905022688,0.000000003,16.4440122501,16.5
17,1.6851E-06,0.3589314866,0.1611781236,3.2E-09,1.5655E-06,2.1275E-06,0.3976548507,0,1.746608359,0,0,17.5
18,1.9914E-06,0.3563759535,0.1628098066,0,1.8786E-06,2.8841E-06,0.378640874,0,1.3560855542,0,0,18.5
19,2.2384E-06,0.3530269215,0.1649481309,0,1.8354E-06,3.1809E-06,0.3615217802,0.2846538755,0.9152612164,9.022E-07,1531.8741190609,19.5
20,0.000002476,0.348814376,0.1676378001,0,1.3366E-06,2.3202E-06,0.3561153149,0.9535151436,0.6100906597,2.0611E-06,4764.8817768309,20.5
21,2.7561E-06,0.3436914076,0.1709103975,0,8.054E-07,1.0447E-06,0.3567372484,1.6611462179,0.4722605239,1.4764E-06,7830.8895058533,21.5
22,3.1306E-06,0.3377035274,0.1747450245,0,7.959E-07,4.426E-07,0.353827857,1.9936619884,0.4881821629,8.211E-07,8943.4176814611,22.5
23,3.6486E-06,0.3309193519,0.1791076622,1.74E-08,0.000001682,5.561E-07,0.3403986377,1.6751586752,0.791162679,0.000001044,7169.201555475,23.5
24,4.2987E-06,0.3234074975,0.1839642918,8.37E-08,3.1172E-06,1.3453E-06,0.3197459687,0.9816578208,1.6192990632,1.4451E-06,4005.7790251684,24.5
