"DisMod II input and output, database England 2006",,,,,,,,,,,
"Males, Disease: Lung cancer (Rates * ), sex: Males",,,,,,,,,,,
"Written 04/06/2016, 14:33:01",,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0,0.295966371,0,0,0,0,0,0,0,0,0.5
1,0,0.2961790953,0,0,0,0,0,0,0,1,0
2,0,0.2967724842,0,0,0,0,0,0,0,0,0
3,0,0.2976793616,0,0,0,0,0,0,0,0,0
4,0,0.2988325513,0,0,0,0,0,0,0,0,4.5
5,0,0.3001648773,0,0,0,0,0,0,0,0,0
6,0,0.3016091634,0,0,0,0,0,0,0,0,6.5
7,0,0.3030982336,0,0,0,0,0,0,0,0,7.5
8,0,0.3045649118,0,0,0,0,0,0,0,0,8.5
9,0,0.3059420219,0,0,0,0,0,0,0,0,0
10,0,0.3071623877,0,0,0,0,0,0,0,0,10.5
11,0,0.3081588332,0,0,0,0,0,0,0,0,0
12,0,0.3088641823,0,0,0,0,0,0,0,0,12.5
13,0,0.3092112588,0,0,0,0,0,0,0,0,13.5
14,0,0.3091328867,0,0,0,0,0,0,0,0,0
15,0,0.3085618899,0,0,0,0,0,0,0,1,15.5
16,0,0.3074310923,0,0,0,0,0,0,0,0,16.5
17,0,0.3056733177,0,0,0,0,0,0,0,1,17.5
18,0,0.3032213901,0,0,0,0,0,0,0,1,0
19,0,0.3000081334,0,0,0,0,0,0,0,0,19.5
20,0,0.2959663714,0,0,0,0,0,0,0,0,20.5
21,0,0.2910515851,0,0,0,0,0,0,0,0,0
22,0,0.2853098833,0,0,0,0,0,0,0,0,0
23,0,0.2788100318,0,0,0,0,0,0,0,0,23.5
24,0,0.2716207964,0,0,0,0,0,0,0,0,24.5
25,0,0.2638109429,0,0,0,0,0,0,0,0,0
26,0,0.2554492372,0,0,0,0,0,0,0,0,26.5
27,0,0.246604445,0,0,0,0,0,0,0,0,0
28,0,0.2373453323,0,0,0,0,0,0,0,0,28.5
29,0,0.2277406647,0,0,0,0.2277406647,0,0,0,0,29.5
30,4.7095E-06,0.2178592081,0.000004841,5.1523E-06,1.4749E-06,0.2424563968,0.9999999999,0.8223768318,1.7727E-06,1163.3164208057,30.5
31,5.5435E-06,0.2077697283,0.000006349,6.2054E-06,0.000003698,0.2043792155,0.9999999996,0.8417145016,3.8515E-06,1099.3068459183,31.5
32,6.6102E-06,0.1975409912,7.4895E-06,7.2566E-06,4.9969E-06,0.1946780309,0.9999999999,0.8634032125,0.000005109,1038.9098653287,32.5
33,7.9915E-06,0.1872417625,0.000007994,8.6089E-06,6.1077E-06,0.1851878984,0.9999999998,0.9191145281,6.2264E-06,983.5971734962,33.5
34,9.8651E-06,0.1769408081,8.0464E-06,1.01747E-05,7.3242E-06,0.1762163373,1,1.0850655047,7.4585E-06,932.3215446629,34.5
35,1.27835E-05,0.1667068938,7.3621E-06,1.27836E-05,9.7779E-06,0.1667068938,0.7321979075,1.3370168395,7.3621E-06,647.3014829802,35.5
36,1.65501E-05,0.1566087854,8.3183E-06,1.65504E-05,1.44463E-05,0.1566087854,0.5621376388,1.48380848,8.3183E-06,470.692737391,36.5
37,2.16689E-05,0.1467152487,1.06036E-05,2.16694E-05,2.11291E-05,0.1467152487,0.4921125147,1.5058368942,1.06036E-05,389.2685404816,37.5
38,2.84131E-05,0.1370950495,1.47792E-05,2.84139E-05,2.95237E-05,0.1370950495,0.4923155115,1.4466593699,1.47792E-05,366.521931479,38.5
39,3.67935E-05,0.1278169536,2.09151E-05,3.67949E-05,3.92423E-05,0.1278169536,0.5251704896,1.3448561483,2.09151E-05,366.6339205928,39.5
40,4.68756E-05,0.118949727,3.11638E-05,4.68779E-05,4.89631E-05,0.118949727,0.6286936192,1.2508199805,3.11638E-05,410.0750412686,40.5
41,0.000057839,0.1105621352,4.07236E-05,5.78424E-05,5.84168E-05,0.1105621352,0.688893441,1.197927446,4.07236E-05,418.5828645648,41.5
42,6.96695E-05,0.1027229443,5.09944E-05,6.96743E-05,6.85623E-05,0.1027229443,0.7352138975,1.1660638364,5.09944E-05,414.9113571366,42.5
43,8.21464E-05,0.09550092,6.15378E-05,8.21529E-05,7.96854E-05,0.09550092,0.7635061095,1.1497998107,6.15378E-05,399.0279488601,43.5
44,9.60449E-05,0.0889648281,7.29347E-05,9.60538E-05,9.22344E-05,0.0889648281,0.7817525621,1.1428848118,7.29347E-05,377.1429623969,44.5
45,0.0001109084,0.0831834344,8.38188E-05,0.0001109203,0.0001071361,0.0831834344,0.7731563228,1.1277571809,8.38188E-05,343.0897814384,45.5
46,0.0001325721,0.0782013059,0.000101155,0.0001325887,0.0001251239,0.0782013059,0.7985268664,1.09278379,0.000101155,324.5858336722,46.5
