"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Males, Disease: Lung cancer (Rates * ), sex: Males",,,,,,,,,,,,
"Written 18/02/2016, 20:31:36",,,,,,,,,,,,
Age,Incidence (rates),Remission (rates),Case fatality (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
0,0.000000109,0.000000109,0.190111631,0,1.244E-07,0.000000038,0.000000109,1.0816519988,1.060863746,4.84E-08,216.7672460834,0.5
1,1.275E-07,0.001751332,0.1899331495,0,1.347E-07,9.48E-08,0.0020832952,0.9930696764,1.2568894697,9.71E-08,451.0214944762,1.5
2,1.492E-07,0.0067920941,0.1894352802,0,1.554E-07,1.358E-07,0.0066313102,0.7805896383,1.4746664665,1.084E-07,1881.7912825165,2.5
3,1.746E-07,0.0148030352,0.1886743856,4.24E-08,1.844E-07,1.928E-07,0.0129735302,0.5708026851,1.5133482122,0.000000112,5387.36226777,3.5
4,2.043E-07,0.025464795,0.1877068283,0.00000018,2.231E-07,2.671E-07,0.0209769573,0.5036397336,1.3057879247,1.363E-07,8600.6871733779,4.5
5,0.000000239,0.0384580134,0.1865889708,3.523E-07,2.707E-07,3.258E-07,0.0308412509,0.6757854869,1.0074322568,2.217E-07,12060.6629652636,5.5
6,2.797E-07,0.0534633301,0.1853771756,5.164E-07,3.181E-07,3.292E-07,0.0440966976,1.0109397928,0.7681997034,3.305E-07,14029.0501671595,6.5
7,3.273E-07,0.0701613849,0.1841278055,6.294E-07,3.539E-07,2.857E-07,0.0626062411,1.3895562852,0.6176545649,3.886E-07,14370.6926011246,7.5
8,3.829E-07,0.0882328176,0.1828972228,6.501E-07,3.732E-07,2.362E-07,0.0870843761,1.6974035794,0.5429973255,3.917E-07,15303.9866958642,8.5
9,4.481E-07,0.107358268,0.1817417903,5.733E-07,3.956E-07,2.087E-07,0.1136518007,1.8415102159,0.5477270235,3.817E-07,16660.171109613,9.5
10,5.243E-07,0.1272183759,0.1807178704,4.304E-07,4.471E-07,2.171E-07,0.1372807638,1.7342197168,0.7099602485,3.847E-07,16893.0839731452,10.5
11,6.135E-07,0.1474937811,0.1798818257,2.544E-07,0.000000546,2.831E-07,0.154657702,1.3364939373,1.25297003,3.952E-07,14022.7079200266,11.5
12,7.178E-07,0.1678651234,0.1792900187,0.000000078,6.805E-07,4.472E-07,0.1693258017,0.803768065,2.3196762611,3.741E-07,8471.668887644,12.5
13,8.399E-07,0.1880130426,0.1789988121,0,8.309E-07,7.687E-07,0.1865424371,0.3400956208,3.4128091637,2.676E-07,3190.578284163,13.5
14,9.828E-07,0.2076181784,0.1790645684,0,9.843E-07,1.2767E-06,0.2083122895,0.0990215911,3.9479625983,1.279E-07,750.7156617745,14.5
15,1.1499E-06,0.2263611706,0.1795436502,0,1.1541E-06,1.9207E-06,0.2236292695,0.0320568229,4.0815754295,0.000000062,186.4635230128,15.5
16,1.3455E-06,0.2439226591,0.18049242,0,1.3603E-06,0.00000263,0.2182345949,0.0402036288,4.1383880603,1.063E-07,176.5331754806,16.5
17,1.5743E-06,0.2599832837,0.1819672404,0,1.6181E-06,3.4454E-06,0.1846714248,0.0433749953,4.1499336394,1.501E-07,148.272480701,17.5
18,0.000001842,0.274223684,0.184024474,9.27E-08,1.9223E-06,0.0000045,0.1426906823,0.0371266043,3.9860552885,1.677E-07,105.4076057849,18.5
19,2.1552E-06,0.2863245,0.1867204832,3.187E-07,2.2627E-06,0.000005844,0.1188452317,0.035924812,3.6280558461,2.106E-07,89.697872339,19.5
20,2.5217E-06,0.2959663714,0.1901116308,5.712E-07,2.6337E-06,0.000007311,0.1323352016,0.0500595574,3.2030220711,0.000000367,114.3996225908,20.5
21,2.9505E-06,0.3029118232,0.1942370968,8.172E-07,3.0479E-06,8.5944E-06,0.1729497777,0.0731151122,2.8465253518,6.298E-07,157.5664998559,21.5
22,3.4521E-06,0.307250921,0.1990673319,1.0236E-06,3.5223E-06,9.5058E-06,0.2231254098,0.0944993312,2.6110699314,8.995E-07,195.3013269622,22.5
23,4.0389E-06,0.3091556157,0.2045556044,1.1584E-06,4.0737E-06,1.01196E-05,0.2680859989,0.1058312174,2.490184503,1.0719E-06,210.6977587662,23.5
24,4.7254E-06,0.3087978582,0.2106551824,1.2156E-06,4.7169E-06,1.06674E-05,0.3042052508,0.1075743676,2.4611270063,1.1487E-06,206.5123756764,24.5
25,5.5285E-06,0.3063495993,0.2173193342,1.2148E-06,5.4663E-06,1.13672E-05,0.3306443225,0.1024035267,2.5099618776,0.000001166,189.5429877969,25.5
26,6.4679E-06,0.3019827898,0.2245013281,1.1767E-06,6.3451E-06,1.23884E-05,0.3459922371,0.0930425487,2.6295714645,1.1557E-06,165.8774910394,26.5
27,7.5667E-06,0.2958693807,0.2321544324,1.1223E-06,0.000007411,1.39011E-05,0.3465494821,0.0824117223,2.8092128228,1.1498E-06,141.24002022,27.5
28,0.000008852,0.2881813226,0.2402319152,1.0752E-06,8.7303E-06,1.61385E-05,0.3280444111,0.0734804452,3.019993342,1.1913E-06,120.6948209959,28.5
29,1.03552E-05,0.2790905666,0.2486870448,1.1301E-06,1.03576E-05,1.94225E-05,0.2893033891,0.0689533569,3.2050464499,1.3462E-06,108.0744656271,29.5
30,0.000012113,0.2687690634,0.2574730894,1.4523E-06,1.23001E-05,2.40689E-05,0.2415448263,0.0704760651,3.2997632991,0.000001705,104.7986971814,30.5
31,1.41686E-05,0.2573887639,0.2665433173,2.2101E-06,1.45531E-05,3.01986E-05,0.1990851445,0.0794294195,3.2758498417,2.4099E-06,111.2886306137,31.5
32,0.000016572,0.245121619,0.2758509968,3.5719E-06,1.71221E-05,3.75524E-05,0.1729285025,0.0965562736,3.161733356,0.000003641,126.5147656141,32.5
33,1.93818E-05,0.2321395794,0.2853493961,5.6959E-06,2.00529E-05,4.55665E-05,0.1608300087,0.1200474966,3.0137115067,5.4904E-06,146.0104918524,33.5
34,2.26661E-05,0.2186145961,0.2949917834,8.5103E-06,2.34014E-05,5.36763E-05,0.1572325088,0.1474559617,2.877346711,0.000007941,165.5384571847,34.5
35,2.65045E-05,0.2047186199,0.3047314269,1.17127E-05,0.00002723,6.15525E-05,0.157140058,0.1760116591,2.7803547391,1.08664E-05,181.720097213,35.5
36,3.09893E-05,0.1906236016,0.314521595,1.49906E-05,3.16265E-05,6.92601E-05,0.1578015482,0.2016530479,2.7365228597,1.40066E-05,191.1539223455,36.5
37,3.62284E-05,0.1765014921,0.3243155558,1.80318E-05,3.66852E-05,7.73298E-05,0.1570270809,0.219995704,2.7476823436,1.70635E-05,191.5461260769,37.5
38,4.23468E-05,0.1625242422,0.3340665776,2.05437E-05,0.000042532,8.67252E-05,0.153070605,0.2280398174,2.8018063375,1.98445E-05,182.7521801452,38.5
39,4.94896E-05,0.1488638029,0.3437279287,2.26905E-05,4.94183E-05,9.85854E-05,0.1459614606,0.2283240331,2.8776246464,2.25973E-05,168.8579385536,39.5
40,5.78254E-05,0.1356921248,0.3532528773,0.000025093,5.76274E-05,0.0001139602,0.1361728354,0.22477161,2.953671323,2.57251E-05,153.8288271694,40.5
41,6.75488E-05,0.123181159,0.3625946916,2.83918E-05,6.74255E-05,0.0001337484,0.1243435346,0.2209096563,3.0119885334,2.96798E-05,140.3215512292,41.5
42,7.88851E-05,0.1115028562,0.3717066399,3.32275E-05,0.000079013,0.0001586605,0.1117748339,0.2186806778,3.0401541518,3.48544E-05,129.3317040657,42.5
43,9.20937E-05,0.1008291672,0.3805419905,4.02272E-05,9.25733E-05,0.0001891098,0.0999336266,0.2196310297,3.0333309481,4.17205E-05,121.3010427148,43.5
44,0.0001074728,0.091332043,0.3890540115,0.000049704,0.000108319,0.0002250745,0.0899930279,0.224808708,2.9957707589,5.08175E-05,116.1005632702,44.5
45,0.0001253644,0.0831834344,0.3971959712,6.16571E-05,0.0001265785,0.0002663082,0.0819510393,0.2332682714,2.9363958698,0.00006238,112.5802802919,45.5
46,0.000146159,0.0764994048,0.4049283564,7.60721E-05,0.0001477092,0.0003127162,0.0755118844,0.2435659194,2.862267388,7.64744E-05,109.5767750534,46.5
47,0.0001703004,0.0711724681,0.4122405278,9.29346E-05,0.0001721281,0.0003644938,0.0703942424,0.2545788561,2.7767548267,9.31587E-05,106.2918906575,47.5
