year,site,agegroup,sex,cases
2006,C34,<1   ,Men,0
2006,C34,01-04,Men,1
2006,C34,05-09,Men,1
2006,C34,10-14,Men,0
2006,C34,15-19,Men,1
2006,C34,20-24,Men,1
2006,C34,25-29,Men,5
2006,C34,30-34,Men,12
2006,C34,35-39,Men,45
2006,C34,40-44,Men,137
2006,C34,45-49,Men,292
2006,C34,50-54,Men,646
2006,C34,55-59,Men,1350
2006,C34,60-64,Men,2129
2006,C34,65-69,Men,2648
2006,C34,70-74,Men,3086
2006,C34,75-79,Men,3412
2006,C34,80-84,Men,2547
2006,C34,85+,Men,1689
2006,C34,<1   ,Women,0
2006,C34,01-04,Women,1
2006,C34,05-09,Women,0
2006,C34,10-14,Women,1
2006,C34,15-19,Women,3
2006,C34,20-24,Women,3
2006,C34,25-29,Women,3
2006,C34,30-34,Women,13
2006,C34,35-39,Women,41
2006,C34,40-44,Women,117
2006,C34,45-49,Women,275
2006,C34,50-54,Women,519
2006,C34,55-59,Women,1056
2006,C34,60-64,Women,1387
2006,C34,65-69,Women,1743
2006,C34,70-74,Women,2111
2006,C34,75-79,Women,2380
2006,C34,80-84,Women,2039
2006,C34,85+,Women,1433
2007,C34,<1   ,Men,0
2007,C34,01-04,Men,0
2007,C34,05-09,Men,0
2007,C34,10-14,Men,2
2007,C34,15-19,Men,4
2007,C34,20-24,Men,3
2007,C34,25-29,Men,8
2007,C34,30-34,Men,15
2007,C34,35-39,Men,48
2007,C34,40-44,Men,114
2007,C34,45-49,Men,269
2007,C34,50-54,Men,612
2007,C34,55-59,Men,1271
2007,C34,60-64,Men,2122
2007,C34,65-69,Men,2675
2007,C34,70-74,Men,3063
2007,C34,75-79,Men,3285
2007,C34,80-84,Men,2677
2007,C34,85+,Men,1793
2007,C34,<1   ,Women,0
2007,C34,01-04,Women,0
2007,C34,05-09,Women,0
2007,C34,10-14,Women,0
2007,C34,15-19,Women,0
2007,C34,20-24,Women,4
2007,C34,25-29,Women,6
2007,C34,30-34,Women,14
2007,C34,35-39,Women,40
2007,C34,40-44,Women,141
2007,C34,45-49,Women,243
2007,C34,50-54,Women,513
2007,C34,55-59,Women,1026
2007,C34,60-64,Women,1579
2007,C34,65-69,Women,1814
2007,C34,70-74,Women,2084
2007,C34,75-79,Women,2327
2007,C34,80-84,Women,2108
2007,C34,85+,Women,1662
2008,C34,<1   ,Men,0
2008,C34,01-04,Men,1
2008,C34,05-09,Men,0
2008,C34,10-14,Men,3
2008,C34,15-19,Men,2
2008,C34,20-24,Men,3
2008,C34,25-29,Men,4
2008,C34,30-34,Men,25
2008,C34,35-39,Men,36
2008,C34,40-44,Men,120
2008,C34,45-49,Men,267
2008,C34,50-54,Men,617
2008,C34,55-59,Men,1222
2008,C34,60-64,Men,2111
2008,C34,65-69,Men,2756
2008,C34,70-74,Men,3256
2008,C34,75-79,Men,3325
2008,C34,80-84,Men,2641
2008,C34,85+,Men,1993
2008,C34,<1   ,Women,0
2008,C34,01-04,Women,0
2008,C34,05-09,Women,0
2008,C34,10-14,Women,0
2008,C34,15-19,Women,2
2008,C34,20-24,Women,6
2008,C34,25-29,Women,6
2008,C34,30-34,Women,15
2008,C34,35-39,Women,42
2008,C34,40-44,Women,97
2008,C34,45-49,Women,286
2008,C34,50-54,Women,549
2008,C34,55-59,Women,983
2008,C34,60-64,Women,1707
2008,C34,65-69,Women,1869
2008,C34,70-74,Women,2169
2008,C34,75-79,Women,2510
2008,C34,80-84,Women,2141
2008,C34,85+,Women,1749
2009,C34,<1   ,Men,0
2009,C34,01-04,Men,0
2009,C34,05-09,Men,0
2009,C34,10-14,Men,0
2009,C34,15-19,Men,3
2009,C34,20-24,Men,7
2009,C34,25-29,Men,13
2009,C34,30-34,Men,24
2009,C34,35-39,Men,43
2009,C34,40-44,Men,129
2009,C34,45-49,Men,265
2009,C34,50-54,Men,593
2009,C34,55-59,Men,1197
2009,C34,60-64,Men,2229
2009,C34,65-69,Men,2820
2009,C34,70-74,Men,3276
2009,C34,75-79,Men,3228
2009,C34,80-84,Men,2690
2009,C34,85+,Men,1975
2009,C34,<1   ,Women,0
2009,C34,01-04,Women,0
2009,C34,05-09,Women,0
2009,C34,10-14,Women,0
2009,C34,15-19,Women,4
2009,C34,20-24,Women,4
2009,C34,25-29,Women,6
2009,C34,30-34,Women,13
2009,C34,35-39,Women,44
2009,C34,40-44,Women,136
2009,C34,45-49,Women,323
2009,C34,50-54,Women,562
2009,C34,55-59,Women,1035
2009,C34,60-64,Women,1717
2009,C34,65-69,Women,1991
2009,C34,70-74,Women,2341
2009,C34,75-79,Women,2398
2009,C34,80-84,Women,2109
2009,C34,85+,Women,1939
2010,C34,<1   ,Men,0
2010,C34,01-04,Men,0
2010,C34,05-09,Men,0
2010,C34,10-14,Men,0
2010,C34,15-19,Men,3
2010,C34,20-24,Men,5
2010,C34,25-29,Men,6
