age,sex,rr
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,4.6
36,1,4.6
37,1,4.6
38,1,4.6
39,1,4.6
40,1,4.6
41,1,4.6
42,1,4.6
43,1,4.6
44,1,4.6
45,1,6
46,1,6
47,1,6
48,1,6
49,1,6
50,1,5.5
51,1,5.5
52,1,5.5
53,1,5.5
54,1,5.5
55,1,5.3
56,1,5.3
57,1,5.3
58,1,5.3
59,1,5.3
60,1,11.6
61,1,11.6
62,1,11.6
63,1,11.6
64,1,11.6
65,1,21.5
66,1,21.5
67,1,21.5
68,1,21.5
69,1,21.5
70,1,34.9
71,1,34.9
72,1,34.9
73,1,34.9
74,1,34.9
75,1,52
76,1,52
77,1,52
78,1,52
79,1,52
80,1,89.2
81,1,89.2
82,1,89.2
83,1,89.2
84,1,89.2
30,2,1.9
31,2,1.9
32,2,1.9
33,2,1.9
34,2,1.9
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,1.9
41,2,1.9
42,2,1.9
43,2,1.9
44,2,1.9
45,2,1.9
46,2,1.9
47,2,1.9
48,2,1.9
49,2,1.9
50,2,5.8
51,2,5.8
52,2,5.8
53,2,5.8
54,2,5.8
55,2,7.2
56,2,7.2
57,2,7.2
58,2,7.2
59,2,7.2
60,2,12.3
61,2,12.3
62,2,12.3
63,2,12.3
64,2,12.3
65,2,16.7
66,2,16.7
67,2,16.7
68,2,16.7
69,2,16.7
70,2,30.5
71,2,30.5
72,2,30.5
73,2,30.5
74,2,30.5
75,2,32.5
76,2,32.5
77,2,32.5
78,2,32.5
79,2,32.5
80,2,57.6
81,2,57.6
82,2,57.6
83,2,57.6
84,2,57.6
