agegroup,sex,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
<1   ,1,0.557,,,,0.353,,,,,,,,,,,,,,,
01-04,1,0.557,,,,0.353,,,,,,,,,,,,,,,
05-09,1,0.557,,,,0.353,,,,,,,,,,,,,,,
10-14,1,0.557,,,,0.353,,,,,,,,,,,,,,,
15-19,1,0.557,,,,0.353,,,,,,,,,,,,,,,
20-24,1,0.557,,,,0.353,,,,,,,,,,,,,,,
25-29,1,0.557,,,,0.353,,,,,,,,,,,,,,,
30-34,1,0.557,,,,0.353,,,,,,,,,,,,,,,
35-39,1,0.557,,,,0.353,,,,,,,,,,,,,,,
40-44,1,0.531,,,,0.219,,,,,,,,,,,,,,,
45-49,1,0.531,,,,0.219,,,,,,,,,,,,,,,
50-54,1,0.554,,,,0.262,,,,,,,,,,,,,,,
55-59,1,0.554,,,,0.262,,,,,,,,,,,,,,,
60-64,1,0.518,,,,0.225,,,,,,,,,,,,,,,
65-69,1,0.518,,,,0.225,,,,,,,,,,,,,,,
70-74,1,0.433,,,,0.193,,,,,,,,,,,,,,,
75-79,1,0.433,,,,0.193,,,,,,,,,,,,,,,
80-84,1,0.285,,,,0.078,,,,,,,,,,,,,,,
85+,1,0.285,,,,0.078,,,,,,,,,,,,,,,
<1   ,2,0.549,,,,0.396,,,,,,,,,,,,,,,
01-04,2,0.549,,,,0.396,,,,,,,,,,,,,,,
05-09,2,0.549,,,,0.396,,,,,,,,,,,,,,,
10-14,2,0.549,,,,0.396,,,,,,,,,,,,,,,
15-19,2,0.549,,,,0.396,,,,,,,,,,,,,,,
20-24,2,0.549,,,,0.396,,,,,,,,,,,,,,,
25-29,2,0.549,,,,0.396,,,,,,,,,,,,,,,
30-34,2,0.549,,,,0.396,,,,,,,,,,,,,,,
35-39,2,0.549,,,,0.396,,,,,,,,,,,,,,,
40-44,2,0.542,,,,0.315,,,,,,,,,,,,,,,
45-49,2,0.542,,,,0.315,,,,,,,,,,,,,,,
50-54,2,0.522,,,,0.296,,,,,,,,,,,,,,,
55-59,2,0.522,,,,0.296,,,,,,,,,,,,,,,
60-64,2,0.522,,,,0.262,,,,,,,,,,,,,,,
65-69,2,0.522,,,,0.262,,,,,,,,,,,,,,,
70-74,2,0.415,,,,0.184,,,,,,,,,,,,,,,
75-79,2,0.415,,,,0.184,,,,,,,,,,,,,,,
80-84,2,0.259,,,,0.075,,,,,,,,,,,,,,,
85+,2,0.259,,,,0.075,,,,,,,,,,,,,,,
