"agegroup","sex","bmival","Pe","se"
"05-09","1","11.8",0.00373677385124643,0.00372873964522099
"05-09","1","11.9",0.00270051262329251,0.00269750942675856
"05-09","1","12.4",0.00270081416715272,0.00270507020025158
"05-09","1","12.6",0.00283787747784763,0.00282228980564361
"05-09","1","12.7",0.00225893461306482,0.00224601457687982
"05-09","1","12.9",0.00269889439719655,0.00268935934331998
"05-09","1","13.2",0.00240642346366084,0.0024044557055126
"05-09","1","13.3",0.00234214752351431,0.00234038298657455
"05-09","1","13.7",0.00407567357842951,0.00406552626865064
"05-09","1","13.8",0.00252914647765181,0.00252676770999952
"05-09","1","13.9",0.00236430153867117,0.00236246789240167
"05-09","1","14",0.0022850920082188,0.00227801430238876
"05-09","1","14.1",0.00637192948078783,0.00469498437468102
"05-09","1","14.2",0.00159732824506872,0.00159457752626147
"05-09","1","14.3",0.00449145541336656,0.00448092359136622
"05-09","1","14.4",0.00497725804404608,0.00357107196027421
"05-09","1","14.5",0.0130297864233534,0.006885447802758
"05-09","1","14.6",0.00679842746081215,0.00407110289780519
"05-09","1","14.7",0.00539714262626419,0.0038728327475293
"05-09","1","14.8",0.00167670716788374,0.00167382033116862
"05-09","1","14.9",0.00419832589058152,0.00297586500715731
"05-09","1","15",0.0068188922978914,0.00392573237466674
"05-09","1","15.1",0.0170087527217565,0.00602686062011689
"05-09","1","15.2",0.0122440063138319,0.00622886241644834
"05-09","1","15.3",0.00831647969689083,0.00486948006379327
"05-09","1","15.4",0.00441738487806982,0.00313311363297054
"05-09","1","15.5",0.0109674710444364,0.00489744899399681
"05-09","1","15.6",0.0163720753495377,0.00672249253101219
"05-09","1","15.7",0.00471666632675071,0.0033601387799763
"05-09","1","15.8",0.0160537053641047,0.00662664215289686
"05-09","1","15.9",0.00342269839282188,0.00342533350787015
"05-09","1","16",0.0170628304643565,0.00655432981142676
"05-09","1","16.1",0.0374796588138903,0.0100642408524916
"05-09","1","16.2",0.0201688867698412,0.00675560218588895
"05-09","1","16.3",0.00712764548242534,0.004175225642038
"05-09","1","16.4",0.0243550261373374,0.00814500417691863
"05-09","1","16.5",0.00867256218879048,0.00435389660321533
"05-09","1","16.6",0.0229179883009442,0.00771735107879952
"05-09","1","16.7",0.0155060856290356,0.00672631275283616
"05-09","1","16.8",0.0183168082802206,0.00727267300679186
"05-09","1","16.9",0.0307133467915683,0.00945351537703046
"05-09","1","17",0.011180046943401,0.00664847567882241
"05-09","1","17.1",0.00776948948746258,0.00450067857020432
"05-09","1","17.2",0.00727258417262888,0.00423560425554378
"05-09","1","17.3",0.0151352997346343,0.00632885264716452
"05-09","1","17.4",0.033023672116864,0.00949447603522622
"05-09","1","17.5",0.0126751710217349,0.00566309555623775
"05-09","1","17.6",0.00780638675716528,0.00553730480132424
"05-09","1","17.7",0.0105469146542765,0.00526926111353348
"05-09","1","17.8",0.0124639129902528,0.00627352169089633
"05-09","1","17.9",0.00635792351656627,0.00367594315649902
"05-09","1","18",0.00223774308044646,0.002224944249792
"05-09","1","18.1",0.00497688272136454,0.00355462240007529
"05-09","1","18.2",0.0104866103096182,0.00525317581098419
"05-09","1","18.3",0.0121181543500332,0.00636106513664798
"05-09","1","18.4",0.00872623005816089,0.00437426214007045
"05-09","1","18.5",0.00238538565665291,0.00236450786611193
"05-09","1","18.6",0.00388354651098086,0.00275943439095289
