"agegroup","sex","cholval1.usual","Pe","se"
"20-24","1","3",0.0186316987176262,0.0108070971534735
"20-24","1","3.1",0.0132121917563921,0.0129615062054132
"20-24","1","3.2",0.0195392160835311,0.0114983808357965
"20-24","1","3.3",0.00604495204805,0.00604320751346371
"20-24","1","3.4",0.0269526506581631,0.0153829951921454
"20-24","1","3.5",0.0586586720372383,0.0205301018051282
"20-24","1","3.6",0.0154209096730599,0.0108985533484751
"20-24","1","3.7",0.0258477643975734,0.0121418950670056
"20-24","1","3.8",0.0586758829434671,0.021025818480748
"20-24","1","3.9",0.0583501577574444,0.0204776215940678
"20-24","1","4",0.0579294314746069,0.0208242555515378
"20-24","1","4.1",0.0673852796974487,0.0225976213211943
"20-24","1","4.2",0.0740521015699355,0.023611136632433
"20-24","1","4.3",0.0351080836653701,0.016997885451471
"20-24","1","4.4",0.0410593011720131,0.0177325430806563
"20-24","1","4.5",0.0537271517894603,0.0200101242939332
"20-24","1","4.6",0.0357664217616529,0.0160187933452317
"20-24","1","4.7",0.0728170537504504,0.0233534563082196
"20-24","1","4.8",0.0259472095172498,0.0129455943029286
"20-24","1","4.9",0.039069851371196,0.017495385516904
"20-24","1","5",0.0190050923628067,0.0132437951343451
"20-24","1","5.1",0.0239518616950353,0.0135279898752289
"20-24","1","5.3",0.015814277796104,0.0156544116825997
"20-24","1","5.5",0.032050796363894,0.0161189743878429
"20-24","1","5.6",0.0133014051556848,0.00939159985421602
"20-24","1","5.7",0.0200172924793129,0.0117132381105276
"20-24","1","5.8",0.0138423619873562,0.00978159999825596
"20-24","1","6.7",0.00781363163934349,0.0077975406211479
"20-24","2","2.9",0.00521974832024422,0.00523915753501904
"20-24","2","3.1",0.0189983797494766,0.0113690741007875
"20-24","2","3.2",0.0204356335774924,0.0116719095653967
"20-24","2","3.3",0.0117006583952615,0.00827337744090981
"20-24","2","3.4",0.00819674472371731,0.00816779330411311
"20-24","2","3.5",0.00790910404311855,0.0078834513018901
"20-24","2","3.6",0.0401406169766548,0.0169248133106469
"20-24","2","3.7",0.0314988529122881,0.0155930019095673
"20-24","2","3.8",0.0481035053104533,0.0213590219658732
"20-24","2","3.9",0.0215462506150676,0.0125265006026708
"20-24","2","4",0.0698597252943397,0.0252281946187423
"20-24","2","4.1",0.0260975385952107,0.0157203021262475
"20-24","2","4.2",0.034601567617281,0.0176388598272521
"20-24","2","4.3",0.0963442456312341,0.030153362425687
"20-24","2","4.4",0.0277715314823546,0.016769365419922
"20-24","2","4.5",0.054329462003997,0.0218844819462702
"20-24","2","4.7",0.0462959816885063,0.0190104485662767
