"agegroup","sex","Pe","se"
"<1   ","1",NA,NA
"01-04","1",NA,NA
"05-09","1",NA,NA
"10-14","1",NA,NA
"15-19","1",NA,NA
"20-24","1",0.0251484175923224,0.0154806925622994
"25-29","1",0.00583203765890505,0.00585743205787046
"30-34","1",0.00543332968083435,0.00542101366547407
"35-39","1",0.0258314933500171,0.0118145640370368
"40-44","1",0.00403872876660895,0.00402981285204708
"45-49","1",0.0339099372676684,0.00943141165717307
"50-54","1",0.044664109881526,0.0133347166193421
"55-59","1",0.0973295206438002,0.0202642762377216
"60-64","1",0.0903197900340195,0.0153820981961128
"65-69","1",0.116295964476994,0.0202157473919546
"70-74","1",0.143672653778859,0.023306014865085
"75-79","1",0.216250818206017,0.032794170891706
"80-84","1",0.134495222503248,0.0303298562677171
"85+","1",0.159496199916115,0.0316266349204553
"<1   ","2",NA,NA
"01-04","2",NA,NA
"05-09","2",NA,NA
"10-14","2",NA,NA
"15-19","2",NA,NA
"20-24","2",0,0
"25-29","2",0,0
"30-34","2",0.00443891212632106,0.00442478782570248
"35-39","2",0.0148673750856113,0.00661856725815081
"40-44","2",0.0113401730331524,0.00579533436998155
"45-49","2",0.0143827255469022,0.00587454512687794
"50-54","2",0.0242555513517722,0.00845900338945605
"55-59","2",0.0501807778464753,0.0115430839129374
"60-64","2",0.0621499511535159,0.0129012591036571
"65-69","2",0.0903959718123823,0.01560942683028
"70-74","2",0.108019426469288,0.0195779295749796
"75-79","2",0.117501176906409,0.0204968190687995
"80-84","2",0.104648384024737,0.023629841383572
"85+","2",0.0980686407478774,0.0209906824708628
