"agegroup","sex","expsm","Pe","se"
"<1   ","1","1",NA,NA
"<1   ","2","1",NA,NA
"01-04","1","1",NA,NA
"01-04","2","1",NA,NA
"05-09","1","1",0,0
"05-09","2","1",0,0
"10-14","1","1",0,0
"10-14","2","1",0,0
"15-19","1","1",0.15665282949554,0.0167570953426338
"15-19","2","1",0.158452961334668,0.0147420206934481
"20-24","1","1",0.478584066214066,0.0261122211895134
"20-24","2","1",0.49641480368607,0.0242038309176475
"25-29","1","1",0.449204364895106,0.0292277817391711
"25-29","2","1",0.438397862806076,0.027953851754974
"30-34","1","1",0.403113033573564,0.0272189779437031
"30-34","2","1",0.403422556307264,0.0244845087832549
"35-39","1","1",0.393503138591646,0.0220189213643164
"35-39","2","1",0.30127449740387,0.0187600853599219
"40-44","1","1",0.325782117379126,0.0205651739012362
"40-44","2","1",0.24667733924409,0.0166952486828203
"45-49","1","1",0.332200135255948,0.0208177581271073
"45-49","2","1",0.244446353496334,0.0150827364643911
"50-54","1","1",0.355966187292264,0.0199809828147292
"50-54","2","1",0.249798487316701,0.0166862990764513
"55-59","1","1",0.344445424484918,0.0220915563760789
"55-59","2","1",0.273021280603111,0.0184953432915077
"60-64","1","1",0.342201088595183,0.0184848381049566
"60-64","2","1",0.230473714349696,0.0172122359128325
"65-69","1","1",0.296699180742162,0.0197003346380964
"65-69","2","1",0.192380737408998,0.0162818552399743
"70-74","1","1",0.310350990338624,0.0223015727058291
"70-74","2","1",0.200070824260781,0.0173382139761422
"75-79","1","1",0.267684317082508,0.0213852736183527
"75-79","2","1",0.198800203522559,0.0201906636135384
"80-84","1","1",0.213291129582953,0.0237422187077391
"80-84","2","1",0.155320154439492,0.0195259231762681
"85+","1","1",0.204812330096223,0.0229362086285525
"85+","2","1",0.12182177737963,0.0150766736398625
