"agegroup","sex","porftvg","Pe","se"
"10-14","1","0",0.108457794346433,0.014826475780807
"10-14","1","1",0.178297091730169,0.0174496773535273
"10-14","1","2",0.245652328021361,0.0201751368135124
"10-14","1","3",0.157223574605589,0.0163349185309318
"10-14","1","4",0.139530387152897,0.0150559318636472
"10-14","1","5",0.0709749121197659,0.0127158356382103
"10-14","1","6",0.059076089030321,0.0114870997436955
"10-14","1","7",0.0184344761486615,0.00682211141785289
"10-14","1","8",0.022353346844803,0.0061009707483497
"10-14","2","0",0.0790806117240724,0.0112941745109178
"10-14","2","1",0.165228555418598,0.0170695497888841
"10-14","2","2",0.204369978091797,0.0193514918485435
"10-14","2","3",0.2123080252483,0.0198601244428953
"10-14","2","4",0.158909197713908,0.0161902529478683
"10-14","2","5",0.0844418970667515,0.0127540193112574
"10-14","2","6",0.0503553188728445,0.0100825067390083
"10-14","2","7",0.0209319496747275,0.00638447235804036
"10-14","2","8",0.0243744661890014,0.00670968900807497
"15-19","1","0",0.131922071043959,0.0147925031831279
"15-19","1","1",0.217345693323831,0.018040740139553
"15-19","1","2",0.192897368782613,0.0170388961519971
"15-19","1","3",0.191806916350212,0.0163070739793977
"15-19","1","4",0.116909589921437,0.0134997668005631
"15-19","1","5",0.065126553229881,0.0107101984498203
"15-19","1","6",0.0330646126718377,0.00912906910031772
"15-19","1","7",0.0218752059277463,0.00642066147993208
"15-19","1","8",0.0290519887484838,0.00685477563773884
"15-19","2","0",0.100934927200852,0.014562363925125
"15-19","2","1",0.1906239084409,0.0173371578676707
"15-19","2","2",0.188075182505467,0.0173738715389786
"15-19","2","3",0.163016962757641,0.0166382518244901
"15-19","2","4",0.168499753806458,0.0169882856881211
"15-19","2","5",0.0793742688036473,0.011828009350434
"15-19","2","6",0.0505892954465565,0.0101930352024383
"15-19","2","7",0.0252626290360255,0.00635815907394858
"15-19","2","8",0.032176851682391,0.00775765436756264
"20-24","1","0",0.169087692833851,0.0187196844545246
"20-24","1","1",0.217927051168849,0.0200127251547427
"20-24","1","2",0.16333728918342,0.0199080508907102
"20-24","1","3",0.146257242049875,0.019064937672646
"20-24","1","4",0.117236559469502,0.0171242702751547
"20-24","1","5",0.0705520885837924,0.0122274213072799
"20-24","1","6",0.0402132276063485,0.00942626894888937
"20-24","1","7",0.0219568425817418,0.00859047168031802
"20-24","1","8",0.0534320065226205,0.0131167181401395
"20-24","2","0",0.0974292844363829,0.0137977483032853
"20-24","2","1",0.179889484322379,0.0188902787723092
"20-24","2","2",0.196384639212275,0.0189973764346392
"20-24","2","3",0.165749736730604,0.0167720267952623
"20-24","2","4",0.117948223318036,0.0163766944754107
"20-24","2","5",0.11075574544918,0.0156936548135174
"20-24","2","6",0.0396678000632226,0.00930449198846342
"20-24","2","7",0.0411524333248786,0.00903906265788791
"20-24","2","8",0.0510226531430413,0.0105094153922905
"25-29","1","0",0.136271698012254,0.0202355184214303
"25-29","1","1",0.190873843037271,0.0245543747868301
"25-29","1","2",0.254118787485135,0.0261278338287158
"25-29","1","3",0.13783024078602,0.0209469454125185
"25-29","1","4",0.085662572293436,0.0148988527179075
"25-29","1","5",0.0572389952215091,0.0143648622201252
"25-29","1","6",0.0588175747281095,0.0130386205215227
