"agegroup","sex","a30t06g","Pe","se"
"20-24","1","1",0.154058826149919,0.0180935869073556
"20-24","1","2",0.235576406005389,0.0223414245477584
"20-24","1","3",0.419273363799703,0.0244569568341489
"20-24","2","1",0.303775402503152,0.022451966279719
"20-24","2","2",0.264321463046304,0.0227543123252575
"20-24","2","3",0.24728054178873,0.0214540892716766
"25-29","1","1",0.184921221383013,0.0220615713029394
"25-29","1","2",0.268509501230927,0.0302743189214866
"25-29","1","3",0.543002288292631,0.0339340853485706
"25-29","2","1",0.2598315226884,0.0257098229859972
"25-29","2","2",0.391420656620224,0.0249940296528573
"25-29","2","3",0.345383077957184,0.0255207310916126
"30-34","1","1",0.174239724218492,0.0207166909780539
"30-34","1","2",0.277793081275555,0.0238231697258598
"30-34","1","3",0.546023622039193,0.0278285732639297
"30-34","2","1",0.252842534929871,0.0190001241868064
"30-34","2","2",0.362452857621538,0.0217696264281225
"30-34","2","3",0.382626630531496,0.0220994783434201
"35-39","1","1",0.195550940943061,0.0196125754522016
"35-39","1","2",0.303755389409035,0.0228716848632973
"35-39","1","3",0.498277276119552,0.0254402398416968
"35-39","2","1",0.291783264534805,0.0187011590335232
"35-39","2","2",0.362754312527191,0.0200976486022756
"35-39","2","3",0.343425466108865,0.0191455213199823
"40-44","1","1",0.230292761050354,0.0185134229960185
"40-44","1","2",0.311854467660377,0.0208833043119829
"40-44","1","3",0.455147783621066,0.0222815968284322
"40-44","2","1",0.255801869609976,0.0167977738249906
"40-44","2","2",0.405638575415972,0.0178268690697977
"40-44","2","3",0.338559554974052,0.0176113435688604
"45-49","1","1",0.251688712528066,0.0197962086788691
"45-49","1","2",0.291839361617774,0.019851348149969
"45-49","1","3",0.456471925854161,0.0227978914250582
"45-49","2","1",0.24223694103064,0.0162807704265
"45-49","2","2",0.390528981283681,0.0178915672535167
"45-49","2","3",0.361411925796953,0.0196276465944438
"50-54","1","1",0.217978761156291,0.0170647734489782
"50-54","1","2",0.376779432369387,0.0227453654713344
"50-54","1","3",0.403626235898148,0.0220511864236297
"50-54","2","1",0.268723967509405,0.0172195468450302
"50-54","2","2",0.358918450483072,0.0183181658754405
"50-54","2","3",0.372357582007523,0.0189679085844513
"55-59","1","1",0.338320515011715,0.021310986657746
"55-59","1","2",0.310092130701902,0.0208078559842297
"55-59","1","3",0.351587354286383,0.0220698831922197
"55-59","2","1",0.349213442833271,0.0194143482324025
"55-59","2","2",0.347771065180893,0.0188425698095845
"55-59","2","3",0.303015491985836,0.0189929166010282
"60-64","1","1",0.348677023253216,0.01944265404185
"60-64","1","2",0.28758351322907,0.019029885980999
"60-64","1","3",0.363739463517714,0.0195586137808644
"60-64","2","1",0.347925500419818,0.0183862398991132
"60-64","2","2",0.358128901402176,0.0203404675715457
"60-64","2","3",0.293945598178006,0.0174411285266381
"65-69","1","1",0.388442246923935,0.0224884590766714
"65-69","1","2",0.284846274125694,0.0201560979419189
"65-69","1","3",0.320972152324717,0.0211166688631671
"65-69","2","1",0.409601075514644,0.0214136240692157
"65-69","2","2",0.356032725641888,0.0204313785093086
"65-69","2","3",0.234366198843469,0.0173796523536489
"70-74","1","1",0.188601749681907,0.0192445052045389
"70-74","1","2",0.169042409994911,0.0177935463161739
"70-74","1","3",0.12838973563722,0.0169651363488749
"70-74","2","1",0.235887173351835,0.0205203924239522
"70-74","2","2",0.156174281865457,0.0164968792769076
"70-74","2","3",0.0899248141504268,0.013552501637107
"75-79","1","1",0.263402520744267,0.0209894603422505
"75-79","1","2",0.148957143498629,0.0179242226002396
"75-79","1","3",0.0763999152519725,0.012208403665945
"75-79","2","1",0.307517640021894,0.0227586323395164
"75-79","2","2",0.13927625447873,0.01570080778585
"75-79","2","3",0.0694555438561078,0.0113883481952634
"80-84","1","1",0.280387050906733,0.0253331116708517
"80-84","1","2",0.135420979510122,0.0196867972194645
"80-84","1","3",0.0727723447676507,0.015425613225973
"80-84","2","1",0.358591735600382,0.0249271493801744
"80-84","2","2",0.1063067591832,0.0164884037600562
"80-84","2","3",0.0300267225176072,0.00893650399208967
"85+","1","1",0.361106644025975,0.0300293601338156
"85+","1","2",0.0839957425612266,0.0159264258729139
"85+","1","3",0.0189664835571805,0.00769650886713747
"85+","2","1",0.407769209819323,0.022533123630413
"85+","2","2",0.0452317609691595,0.00859767936542829
"85+","2","3",0.0151593054477463,0.00528445811058554
