"agegroup","sex","salt","Pe","se"
"15-19","1","5.5",0.00165562913907285,0.00165677714156832
"15-19","1","5.9",0.0033112582781457,0.00233914783248742
"15-19","1","6",0.0033112582781457,0.00233136353932504
"15-19","1","6.1",0.00165562913907285,0.00165128198135724
"15-19","1","6.2",0.0033112582781457,0.00233136353932504
"15-19","1","6.3",0.0033112582781457,0.00233136353932502
"15-19","1","6.6",0.00165562913907285,0.00165403184352334
"15-19","1","6.8",0.00165562913907285,0.00165403184352334
"15-19","1","6.9",0.00496688741721854,0.0028696064539979
"15-19","1","7.1",0.00165562913907285,0.00165677714156831
"15-19","1","7.2",0.0033112582781457,0.00233914783248742
"15-19","1","7.5",0.00496688741721854,0.00285531763275465
"15-19","1","7.6",0.00165562913907285,0.00165403184352333
"15-19","1","7.7",0.00662251655629139,0.00330803639312962
"15-19","1","7.8",0.00165562913907285,0.00165403184352334
"15-19","1","7.9",0.0033112582781457,0.00233914783248742
"15-19","1","8.1",0.00165562913907285,0.0016485275322302
"15-19","1","8.2",0.0033112582781457,0.00233136353932504
"15-19","1","8.3",0.0033112582781457,0.00233525892940427
"15-19","1","8.4",0.00662251655629139,0.00329150951526207
"15-19","1","8.5",0.00662251655629139,0.00328044534013113
"15-19","1","8.6",0.00165562913907285,0.00165403184352334
"15-19","1","8.7",0.00496688741721854,0.00286008850496305
"15-19","1","8.8",0.00165562913907285,0.00165403184352334
"15-19","1","8.9",0.00165562913907285,0.00165677714156832
"15-19","1","9",0.00165562913907285,0.00165403184352334
"15-19","1","9.1",0.0033112582781457,0.00233914783248741
"15-19","1","9.2",0.00496688741721854,0.00286960645399791
"15-19","1","9.3",0.00165562913907285,0.00165128198135724
"15-19","1","9.4",0.00165562913907285,0.00165403184352334
"15-19","1","9.5",0.0033112582781457,0.00233136353932504
"15-19","1","9.6",0.00165562913907285,0.00165403184352333
"15-19","1","9.7",0.00496688741721854,0.00286485143219054
"15-19","1","9.8",0.00165562913907285,0.00165128198135724
"15-19","1","9.9",0.00165562913907285,0.00165677714156832
"15-19","1","10",0.0033112582781457,0.00233136353932503
"15-19","1","10.3",0.00496688741721854,0.00286008850496306
"15-19","1","10.4",0.00165562913907285,0.00165677714156831
"15-19","1","10.5",0.00165562913907285,0.00165403184352333
"15-19","1","10.9",0.00165562913907285,0.00165677714156832
"15-19","1","11",0.00496688741721854,0.00285531763275464
"15-19","1","11.1",0.0033112582781457,0.00234303028087534
"15-19","1","11.2",0.00165562913907285,0.00165403184352333
"15-19","1","11.6",0.00165562913907285,0.00165403184352333
"15-19","1","11.8",0.00165562913907285,0.00165677714156832
"15-19","1","11.9",0.0033112582781457,0.00233525892940427
"15-19","1","12",0.00496688741721854,0.00284095694564572
"15-19","1","12.1",0.00827814569536424,0.00367382941666947
"15-19","1","12.4",0.00165562913907285,0.00164852753223021
"15-19","1","12.6",0.00496688741721854,0.00286008850496305
"15-19","1","12.7",0.0033112582781457,0.00233525892940426
"15-19","1","12.8",0.00165562913907285,0.00165677714156832
"15-19","1","12.9",0.00165562913907285,0.00165403184352333
"15-19","1","13.1",0.00496688741721854,0.00286485143219053
"15-19","1","13.2",0.0033112582781457,0.00232355316762018
"15-19","1","13.3",0.00165562913907285,0.00165403184352334
"15-19","1","13.5",0.00165562913907285,0.00165128198135724
"15-19","1","13.6",0.0033112582781457,0.00232355316762018
"15-19","1","13.7",0.00165562913907285,0.00165677714156832
"15-19","1","13.9",0.0033112582781457,0.00233914783248741
"15-19","1","14.1",0.00165562913907285,0.00165677714156832
"15-19","1","14.4",0.00165562913907285,0.00165403184352334
"15-19","1","14.8",0.00165562913907285,0.00165403184352334
"15-19","1","14.9",0.00165562913907285,0.00165403184352333
"15-19","1","15",0.0033112582781457,0.0023391478324874
"15-19","1","15.6",0.00165562913907285,0.00165677714156832
"15-19","1","16.2",0.00165562913907285,0.00165403184352334
"15-19","1","16.4",0.0033112582781457,0.00233525892940427
"15-19","1","16.5",0.00165562913907285,0.00165677714156833
"15-19","1","16.6",0.00165562913907285,0.0016485275322302
"15-19","1","16.7",0.00165562913907285,0.00165677714156832
"15-19","1","17",0.0033112582781457,0.0023391478324874
"15-19","1","17.6",0.00165562913907285,0.00165677714156832
"15-19","1","18.1",0.00165562913907285,0.00165677714156832
"15-19","1","18.4",0.00165562913907285,0.00165677714156833
"15-19","1","18.5",0.00165562913907285,0.00165677714156832
"15-19","1","18.6",0.00165562913907285,0.00165403184352333
"15-19","1","18.8",0.00165562913907285,0.00165128198135725
"15-19","1","20.1",0.00165562913907285,0.00164852753223021
"15-19","1","20.9",0.00165562913907285,0.00165677714156833
"15-19","2","2.8",0.00158227848101266,0.00157575039728321
"15-19","2","3.2",0.00158227848101266,0.00158077733602811
"15-19","2","3.3",0.00158227848101266,0.00157323090446293
"15-19","2","3.4",0.00158227848101266,0.00158077733602811
"15-19","2","3.5",0.00158227848101266,0.00157575039728322
"15-19","2","3.6",0.00158227848101266,0.00158328482020169
"15-19","2","3.7",0.00158227848101266,0.00158077733602811
"15-19","2","3.8",0.00158227848101266,0.00158077733602811
"15-19","2","3.9",0.00158227848101266,0.00158328482020169
"15-19","2","4",0.00316455696202532,0.00223187000760174
"15-19","2","4.1",0.00158227848101266,0.0015782658680714
"15-19","2","4.3",0.00474683544303797,0.00273330600949455
"15-19","2","4.5",0.00316455696202532,0.00222831237919424
"15-19","2","4.6",0.00158227848101266,0.0015782658680714
"15-19","2","4.8",0.00158227848101266,0.00158077733602811
"15-19","2","4.9",0.00158227848101266,0.00157575039728322
"15-19","2","5",0.00632911392405063,0.00314083924342974
"15-19","2","5.1",0.00316455696202532,0.00222831237919424
"15-19","2","5.2",0.00158227848101266,0.00158077733602811
"15-19","2","5.5",0.00632911392405063,0.00316098284170663
