"agegroup","sex","omsysval.usual","Pe","se"
"10-14","1","79.5",0.00261862316118511,0.00260944053088753
"10-14","1","80.5",0.00371995155963907,0.00264178912116647
"10-14","1","81.5",0.00235326759272337,0.0023513554945903
"10-14","1","82.5",0.00189705131023682,0.0018955599061152
"10-14","1","83",0.00253614361560676,0.00253361870586865
"10-14","1","84.5",0.00473669931789244,0.00341289727905636
"10-14","1","85",0.0141140950900671,0.00876772363988928
"10-14","1","86",0.00467091938365866,0.00328177962436966
"10-14","1","86.5",0.00476505366194682,0.00340250916293271
"10-14","1","87",0.00211149989730881,0.00210545930206633
"10-14","1","88",0.00507513341208663,0.00360647197365913
"10-14","1","89",0.00653271129495133,0.00463881153154086
"10-14","1","89.5",0.00228909633210799,0.00228738338391005
"10-14","1","90",0.00750040274932254,0.00525449060129767
"10-14","1","90.5",0.00459683802342545,0.00327268172392425
"10-14","1","91.5",0.00213483632826415,0.00212837497421954
"10-14","1","92",0.0109859419149568,0.00562082856309427
"10-14","1","92.5",0.00457348465720349,0.00332324757707869
"10-14","1","93",0.0146156664043287,0.00765683612244952
"10-14","1","93.5",0.00628957846734993,0.0036469688570396
"10-14","1","94",0.00801076109664953,0.00462897383499116
"10-14","1","94.5",0.00754891873065843,0.00376780786094756
"10-14","1","95",0.0159460574549287,0.00719849678284934
"10-14","1","95.5",0.0079883837759284,0.00493855526071128
"10-14","1","96",0.0128084627339706,0.0058370537916132
"10-14","1","96.5",0.00424912472007634,0.00304268706422624
"10-14","1","97",0.0104746552947659,0.00550792193111847
"10-14","1","97.5",0.032367856362756,0.0092984465685428
"10-14","1","98",0.0104614038073873,0.00466447843486011
"10-14","1","98.5",0.0103750626504241,0.00467559836033864
"10-14","1","99",0.0105128824312472,0.00534315414881366
"10-14","1","99.5",0.0252786530966385,0.0085789220953287
"10-14","1","100",0.014410935005336,0.00658305153446189
"10-14","1","100.5",0.0161422781172512,0.0065942662606189
"10-14","1","101",0.0263031120383916,0.00849454779145593
"10-14","1","101.5",0.0075770767830659,0.00441404373806992
"10-14","1","102",0.012182051479759,0.00555337094985757
"10-14","1","102.5",0.0131143121104543,0.00601117189578705
"10-14","1","103",0.0157676111327489,0.00611864213279804
"10-14","1","103.5",0.00316412020697981,0.00223778356146643
"10-14","1","104",0.0124869901572793,0.00560777983108763
"10-14","1","104.5",0.0163155579336285,0.0069442071929931
"10-14","1","105",0.0128597703587762,0.00690283406173046
"10-14","1","105.5",0.00384169606619766,0.00383284756483617
"10-14","1","106",0.0118288180487328,0.00621692673514233
"10-14","1","106.5",0.0146554041301992,0.0059903944502737
"10-14","1","107",0.0149832348775492,0.00627161845366589
"10-14","1","107.5",0.00881272655333864,0.00441315803181437
"10-14","1","108",0.00575067414007459,0.00413719323246889
"10-14","1","108.5",0.0103251378587135,0.00516053861683492
"10-14","1","109",0.00401666762240961,0.00283140791919891
"10-14","1","109.5",0.013890296941969,0.00661452010795872
"10-14","1","110",0.00809695528231088,0.0047672528308946
"10-14","1","110.5",0.00453320730985676,0.00320785415250245
"10-14","1","111",0.0150080841296807,0.00731540919729957
"10-14","1","111.5",0.0184318225678253,0.00814200196903933
"10-14","1","112",0.00426908849245709,0.0030146674497579
"10-14","1","112.5",0.0148309894050257,0.00626466893612583
"10-14","1","113",0.00565057303375209,0.00397533751872402
"10-14","1","113.5",0.0152934182118472,0.00729492917841249
"10-14","1","114",0.00721791044277735,0.00423230363130479
"10-14","1","114.5",0.00137952651643487,0.00137974935017387
"10-14","1","115",0.0102971451142332,0.00522096682184832
"10-14","1","115.5",0.00550412134828553,0.00317436995676463
"10-14","1","116",0.00960505854311464,0.00479621333892021
"10-14","1","117.5",0.00680308876973339,0.00404345388974474
"10-14","1","118",0.00186649854294701,0.00186939384691939
"10-14","1","118.5",0.00297134582609507,0.00296709293456364
"10-14","1","119",0.00617438160877156,0.0036690397158221
"10-14","1","119.5",0.00230924220752502,0.00229620729309933
"10-14","1","120",0.00548295506047589,0.00393753516627275
"10-14","1","121.5",0.00587367017932348,0.00414283971992322
"10-14","1","122",0.00406204024404986,0.00290419848654886
"10-14","1","122.5",0.00242579612054466,0.00242836775136486
"10-14","1","124.5",0.00634890641846758,0.00370436436262588
"10-14","1","125",0.00207083328998576,0.00205910602574306
"10-14","1","125.5",0.00193106330953431,0.00193031005835676
"10-14","1","127",0.00277809160064416,0.00275468705481597
"10-14","1","127.5",0.0069481680211199,0.00406526399368178
"10-14","1","132",0.00225949018904194,0.0022620444079342
"10-14","1","136.5",0.00204906484266454,0.0020593155993269
"10-14","2","72",0.00146229807879858,0.00145806927318021
"10-14","2","73",0.00244066710070868,0.00243469148576929
"10-14","2","78.5",0.00344623572818533,0.00342130996928771
"10-14","2","79",0.0015761209790741,0.00157144200338002
"10-14","2","82",0.013358320929042,0.00681274171088063
"10-14","2","82.5",0.00622748188757548,0.00619987277485078
"10-14","2","83",0.00290277845441919,0.00289958683614939
"10-14","2","83.5",0.00337613982115861,0.00337082746695951
"10-14","2","84",0.00662992111828442,0.00482141527503589
"10-14","2","85",0.00215202619049521,0.00215840582903741
"10-14","2","85.5",0.00491864806614915,0.00360219507440233
"10-14","2","86",0.00171614167746564,0.00171427629034724
"10-14","2","87",0.00241866313361337,0.00241717571885847
"10-14","2","88.5",0.0036701887978518,0.00260886116097411
"10-14","2","89",0.00511149256174649,0.00376216174464213
"10-14","2","89.5",0.00520020763470185,0.00376815867500072
"10-14","2","90",0.00206965653198336,0.00207357637940478
"10-14","2","90.5",0.00496480255230611,0.00287811384830678
"10-14","2","91",0.00585482535247107,0.00340107836115033
"10-14","2","91.5",0.0113250336645148,0.00670523486377699
"10-14","2","92",0.00522377056689274,0.00373162720632747
"10-14","2","92.5",0.0112270462270771,0.00501043421727225
"10-14","2","93",0.00426752361633317,0.00302607273662291
"10-14","2","93.5",0.00909781403036927,0.00471068173252429
"10-14","2","94",0.0118443253093394,0.00486653925769731
"10-14","2","94.5",0.00936576486570436,0.00416836664481927
"10-14","2","95",0.00614235075210502,0.00361859150075961
"10-14","2","95.5",0.00442002325792539,0.00326128887848343
"10-14","2","96",0.00673772190861766,0.00403778946631647
"10-14","2","96.5",0.00980823139474707,0.00578907297886531
"10-14","2","97",0.00504022638356399,0.00367706244860704
"10-14","2","97.5",0.0111839808272194,0.00502225862755211
"10-14","2","98",0.0110496663715428,0.00604324991500609
"10-14","2","98.5",0.0065878985757491,0.00385269798636754
"10-14","2","99",0.0106987834797655,0.00498270702405829
"10-14","2","99.5",0.00814537681962582,0.00408611190794565
