"agegroup","sex","cigst1","Pe","se"
"25-29","1","1",0.456913827655311,0.0237490305101252
"25-29","1","2",0.0380761523046092,0.00892848910244828
"25-29","1","3",0.00601202404809619,0.00347184847220968
"25-29","1","4",0.190380761523046,0.0179086229420541
"25-29","2","1",0.424561403508772,0.0190724774153082
"25-29","2","2",0.0473684210526316,0.00867953927041834
"25-29","2","3",0.0280701754385965,0.00680976814775537
"25-29","2","4",0.215789473684211,0.0177782753131899
"30-34","1","1",0.497706422018349,0.0257177895502544
"30-34","1","2",0.0527522935779817,0.0107603823329415
"30-34","1","3",0.0825688073394495,0.0135461525644528
"30-34","1","4",0.364678899082569,0.025222635437624
"30-34","2","1",0.44234404536862,0.0227649543003786
"30-34","2","2",0.0756143667296786,0.0116518140890986
"30-34","2","3",0.0945179584120983,0.0129095076045807
"30-34","2","4",0.387523629489603,0.0224064504167424
"35-39","1","1",0.407258064516129,0.0216822152704953
"35-39","1","2",0.0745967741935484,0.0116932952277692
"35-39","1","3",0.127016129032258,0.0147935812982795
"35-39","1","4",0.391129032258065,0.0216006741297385
"35-39","2","1",0.464071856287425,0.019907959930339
"35-39","2","2",0.0733532934131737,0.0101572520817239
"35-39","2","3",0.149700598802395,0.0135427360610601
"35-39","2","4",0.311377245508982,0.0181031178600375
"40-44","1","1",0.430793157076205,0.020395226041915
"40-44","1","2",0.0544323483670296,0.00901665733220987
"40-44","1","3",0.153965785381026,0.0144191631608114
"40-44","1","4",0.354587869362364,0.0199693900788791
"40-44","2","1",0.453145057766367,0.0180870547863907
"40-44","2","2",0.0667522464698331,0.00901337113337823
"40-44","2","3",0.152759948652118,0.0133586863380521
"40-44","2","4",0.326059050064185,0.0172949902693371
"45-49","1","1",0.427536231884058,0.0188846998188011
"45-49","1","2",0.0463768115942029,0.00782479777887619
"45-49","1","3",0.194202898550725,0.0148967256074095
"45-49","1","4",0.327536231884058,0.0178723623156411
"45-49","2","1",0.465723612622416,0.0163542958903085
"45-49","2","2",0.0500544069640914,0.00789861782705665
"45-49","2","3",0.189336235038085,0.0128637151953681
"45-49","2","4",0.291621327529924,0.0152005866507735
"50-54","1","1",0.46031746031746,0.0204788496420502
"50-54","1","2",0.0444444444444444,0.00807975564339342
"50-54","1","3",0.234920634920635,0.0173708591247555
"50-54","1","4",0.257142857142857,0.0176121300080394
"50-54","2","1",0.498753117206983,0.0173996519774338
"50-54","2","2",0.0386533665835411,0.00709638278131382
"50-54","2","3",0.195760598503741,0.0136873969955839
"50-54","2","4",0.264339152119701,0.0156783829472743
"55-59","1","1",0.40597539543058,0.0202220313175888
"55-59","1","2",0.0386643233743409,0.00817764164364322
"55-59","1","3",0.281195079086116,0.0183152351762597
"55-59","1","4",0.270650263620387,0.0191673185117483
"55-59","2","1",0.451798561151079,0.0198718621000784
"55-59","2","2",0.0589928057553957,0.008858673497183
"55-59","2","3",0.218705035971223,0.0154914628157971
"55-59","2","4",0.270503597122302,0.016634063166151
"60-64","1","1",0.354134165366615,0.019489796095024
"60-64","1","2",0.0421216848673947,0.0077935928101196
"60-64","1","3",0.349453978159126,0.0193578379850313
"60-64","1","4",0.252730109204368,0.0178157969625934
"60-64","2","1",0.431847133757962,0.0181136319984114
"60-64","2","2",0.0535031847133758,0.0079765311891468
"60-64","2","3",0.24968152866242,0.0157652834215306
"60-64","2","4",0.262420382165605,0.0158690189586662
"65-69","1","1",0.289520426287744,0.0185977501258885
"65-69","1","2",0.0479573712255773,0.00911159328995461
"65-69","1","3",0.433392539964476,0.0222129185038306
"65-69","1","4",0.229129662522202,0.0181642060956091
"65-69","2","1",0.381933438985737,0.0198365524779913
"65-69","2","2",0.0602218700475436,0.00952415667774077
"65-69","2","3",0.347068145800317,0.019583582131521
"65-69","2","4",0.210776545166403,0.016542258620834
"70-74","1","1",0.270875763747454,0.0202215048690732
"70-74","1","2",0.0488798370672098,0.00948064029734126
"70-74","1","3",0.476578411405295,0.022325265205559
"70-74","1","4",0.20162932790224,0.017900369348619
"70-74","2","1",0.47047619047619,0.0225172983102827
"70-74","2","2",0.0590476190476191,0.0105220761386689
"70-74","2","3",0.28952380952381,0.0206309812742775
"70-74","2","4",0.179047619047619,0.0162254659850887
"75-79","1","1",0.27741935483871,0.0216407124645535
"75-79","1","2",0.0494623655913978,0.00995723987146135
"75-79","1","3",0.516129032258065,0.0231708447309528
"75-79","1","4",0.152688172043011,0.0168437081973729
"75-79","2","1",0.478504672897196,0.0212314069532455
"75-79","2","2",0.0728971962616822,0.0118956622301748
"75-79","2","3",0.271028037383178,0.0192107922437736
"75-79","2","4",0.175700934579439,0.0163427033574579
"80-84","1","1",0.203349282296651,0.0200287084547058
"80-84","1","2",0.0478468899521531,0.0102586095085693
"80-84","1","3",0.586124401913876,0.0240722403436086
"80-84","1","4",0.160287081339713,0.0176696292707129
"80-84","2","1",0.431174089068826,0.0222905624647141
"80-84","2","2",0.0728744939271255,0.0123875580337915
"80-84","2","3",0.307692307692308,0.02051191185092
"80-84","2","4",0.188259109311741,0.0179808103709108
"85+","1","1",0.227272727272727,0.017949988965782
"85+","1","2",0.0436363636363636,0.00854276789017685
"85+","1","3",0.629090909090909,0.0198901500224772
"85+","1","4",0.0981818181818182,0.0126514199617494
"85+","2","1",0.492081447963801,0.0174827242138142
"85+","2","2",0.0769230769230769,0.00916510165163374
"85+","2","3",0.349547511312217,0.0168272632604967
"85+","2","4",0.080316742081448,0.00935573171739513
