age,sex,rr
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0.0002
17,1,0.0002
18,1,0.0002
19,1,0.0002
20,1,0.0002
21,1,0.0002
22,1,0.0002
23,1,0.0002
24,1,0.0002
25,1,0.0002
26,1,0.0002
27,1,0.0002
28,1,0.0002
29,1,0.0002
30,1,0.0002
31,1,0.0002
32,1,0.0002
33,1,0.0002
34,1,0.0002
35,1,0.0002
36,1,0.0002
37,1,0.0002
38,1,0.0002
39,1,0.0002
40,1,0.0002
41,1,0.0002
42,1,0.0002
43,1,0.0002
44,1,0.0002
45,1,0.0058
46,1,0.0058
47,1,0.0058
48,1,0.0058
49,1,0.0058
50,1,0.0058
51,1,0.0058
52,1,0.0058
53,1,0.0058
54,1,0.0058
55,1,0.0058
56,1,0.0058
57,1,0.0058
58,1,0.0058
59,1,0.0058
60,1,0.0058
61,1,0.0058
62,1,0.0058
63,1,0.0058
64,1,0.0058
65,1,0.0114
66,1,0.0114
67,1,0.0114
68,1,0.0114
69,1,0.0114
70,1,0.0114
71,1,0.0114
72,1,0.0114
73,1,0.0114
74,1,0.0114
75,1,0.0218
76,1,0.0218
77,1,0.0218
78,1,0.0218
79,1,0.0218
80,1,0.0218
81,1,0.0218
82,1,0.0218
83,1,0.0218
84,1,0.0218
85,1,0.0218
86,1,0.0218
87,1,0.0218
88,1,0.0218
89,1,0.0218
90,1,0.0218
91,1,0.0218
92,1,0.0218
93,1,0.0218
94,1,0.0218
95,1,0.0218
96,1,0.0218
97,1,0.0218
98,1,0.0218
99,1,0.0218
0,2,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
14,2,0
15,2,0
16,2,0.0012
17,2,0.0012
18,2,0.0012
19,2,0.0012
20,2,0.0012
21,2,0.0012
22,2,0.0012
23,2,0.0012
24,2,0.0012
25,2,0.0012
26,2,0.0012
27,2,0.0012
28,2,0.0012
29,2,0.0012
30,2,0.0012
31,2,0.0012
32,2,0.0012
33,2,0.0012
34,2,0.0012
35,2,0.0012
36,2,0.0012
37,2,0.0012
38,2,0.0012
39,2,0.0012
40,2,0.0012
41,2,0.0012
42,2,0.0012
43,2,0.0012
44,2,0.0012
45,2,0.0167
46,2,0.0167
47,2,0.0167
48,2,0.0167
49,2,0.0167
50,2,0.0167
51,2,0.0167
52,2,0.0167
53,2,0.0167
54,2,0.0167
55,2,0.0167
56,2,0.0167
57,2,0.0167
58,2,0.0167
59,2,0.0167
60,2,0.0167
61,2,0.0167
62,2,0.0167
63,2,0.0167
64,2,0.0167
65,2,0.0256
66,2,0.0256
67,2,0.0256
68,2,0.0256
69,2,0.0256
70,2,0.0256
71,2,0.0256
72,2,0.0256
73,2,0.0256
74,2,0.0256
75,2,0.0299
76,2,0.0299
77,2,0.0299
78,2,0.0299
79,2,0.0299
80,2,0.0299
81,2,0.0299
82,2,0.0299
83,2,0.0299
84,2,0.0299
85,2,0.0299
86,2,0.0299
87,2,0.0299
88,2,0.0299
89,2,0.0299
90,2,0.0299
91,2,0.0299
92,2,0.0299
93,2,0.0299
94,2,0.0299
95,2,0.0299
96,2,0.0299
97,2,0.0299
98,2,0.0299
99,2,0.0299
