agegroup,sex,diab.incid
<1   ,1,0.0004
01-04,1,0.0004
05-09,1,0.00032
10-14,1,0.00032
15-19,1,0.00052
20-24,1,0.0006
25-29,1,0.00089
30-34,1,0.00136
35-39,1,0.00209
40-44,1,0.00329
45-49,1,0.00516
50-54,1,0.0077
55-59,1,0.00992
60-64,1,0.01233
65-69,1,0.01486
70-74,1,0.01656
75-79,1,0.01625
80-84,1,0.01411
85+,1,0.01189
<1   ,2,0.00036
01-04,2,0.00036
05-09,2,0.00028
10-14,2,0.00035
15-19,2,0.0009
20-24,2,0.00132
25-29,2,0.0017
30-34,2,0.00181
35-39,2,0.00219
40-44,2,0.00287
45-49,2,0.00425
50-54,2,0.00597
55-59,2,0.00739
60-64,2,0.00915
65-69,2,0.01142
70-74,2,0.01338
75-79,2,0.0138
80-84,2,0.01252
85+,2,0.0106
