sex,year,qimd,0,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2002,5,672,101,54,70,229,376,468,700,896,1087,1560,2153,3029,4063,5636,7636,9369,8375,5314,2854
1,2002,4,392,45,40,61,171,267,372,428,590,813,1064,1625,2368,3248,4569,6673,8687,8656,6252,3783
1,2002,3,272,61,38,53,179,211,270,392,428,577,849,1390,2155,2900,4127,6131,8470,8977,6783,4498
1,2002,2,220,46,28,43,146,191,201,255,382,448,708,1189,1881,2539,3905,5829,7808,8520,6759,4600
1,2002,1,181,50,28,41,124,159,132,208,253,375,597,992,1678,2032,3205,5022,6751,7132,5874,3944
1,2003,5,707,124,51,61,217,359,417,714,845,1168,1474,2203,3148,4059,5529,7285,8946,8876,5210,3090
1,2003,4,376,52,46,37,167,279,315,476,642,791,1022,1569,2477,3158,4431,6392,8353,9145,6031,3964
1,2003,3,255,37,38,60,142,234,222,294,444,628,876,1335,2214,2854,4116,6031,8147,9376,6583,4841
1,2003,2,197,29,32,42,141,179,185,260,340,473,689,1128,2024,2584,3850,5665,7765,8920,6542,4776
1,2003,1,200,44,24,42,118,171,128,187,267,420,573,951,1673,2161,3234,4776,6568,7582,5616,4150
1,2004,5,649,104,42,82,218,362,451,614,882,1206,1498,2088,2996,3818,5429,6895,8352,8779,4846,3093
1,2004,4,378,59,31,49,153,283,291,428,601,762,1015,1619,2278,2991,4294,6006,7970,8950,5548,3867
1,2004,3,287,51,22,51,142,207,224,312,441,585,789,1249,2134,2891,3922,5704,7973,9172,6017,4662
1,2004,2,220,40,36,29,137,165,183,242,344,478,674,1055,1882,2539,3824,5355,7334,9048,6093,4797
1,2004,1,165,36,28,27,113,158,125,174,277,375,573,969,1581,2102,3116,4563,6290,7792,5243,4105
1,2005,5,678,91,49,85,210,372,416,613,809,1233,1544,2017,2937,3880,5157,6612,7940,8205,5103,3192
1,2005,4,381,67,29,51,157,235,266,421,626,803,1040,1478,2385,3079,4151,5782,7639,8776,5784,4072
1,2005,3,311,41,30,34,137,198,214,283,440,580,856,1265,2095,2844,3880,5721,7680,9096,6709,4960
1,2005,2,225,35,24,37,151,153,141,225,332,497,721,1004,1915,2597,3609,5183,7399,8688,6405,4932
1,2005,1,179,41,26,47,125,160,153,200,266,377,557,887,1596,2086,2974,4422,6124,7618,5611,4495
1,2006,5,691,99,56,68,229,380,396,599,902,1205,1548,2090,3072,3797,4979,6347,7786,8113,5380,3223
1,2006,4,385,61,31,47,167,260,294,387,586,798,1048,1482,2427,3150,4113,5453,7383,8298,6188,4069
1,2006,3,265,38,26,48,126,210,230,262,435,609,862,1250,2108,2834,3827,5218,7345,8808,6784,4894
1,2006,2,232,37,38,38,137,150,166,217,285,439,666,1044,1851,2645,3503,5051,7010,8402,6812,5060
1,2006,1,189,39,22,43,112,112,151,200,246,400,552,846,1548,2209,2762,4346,6132,7408,5920,4528
1,2007,5,665,105,65,66,189,351,432,612,876,1212,1483,2032,2977,3948,4864,6020,7369,7931,5856,3234
1,2007,4,423,87,34,43,155,258,311,371,560,784,1122,1471,2206,3182,3973,5316,7184,8097,6451,4090
1,2007,3,280,59,24,36,159,221,229,292,391,586,758,1161,1993,3034,3818,5074,7287,8588,7314,5137
1,2007,2,213,30,25,31,122,167,166,211,326,437,678,984,1797,2682,3448,4886,7038,8384,7095,5070
1,2007,1,170,40,21,29,106,137,115,154,228,404,529,834,1505,2228,2850,4219,6004,7299,6436,4612
1,2008,5,706,92,53,61,211,358,442,583,896,1201,1622,2082,2845,4020,4758,6187,7316,7598,6162,3188
1,2008,4,420,62,41,33,149,250,330,372,582,861,1097,1424,2193,3232,3965,5209,7078,8069,6982,4315
1,2008,3,263,44,14,26,132,220,223,267,394,620,839,1147,1833,3075,3713,5290,7084,8380,7744,5037
1,2008,2,222,36,22,39,129,179,161,207,334,465,712,1008,1637,2776,3419,4841,6930,8467,7853,5152
1,2008,1,199,30,33,20,108,147,122,154,280,369,591,869,1337,2305,2831,4238,6127,7414,6939,4730
1,2009,5,604,79,51,41,180,343,456,552,861,1285,1507,2006,2791,3918,4540,5983,7016,7263,6104,3002
1,2009,4,428,44,33,43,161,237,313,325,587,821,1112,1460,2090,3115,3885,5169,6635,7818,7148,4131
1,2009,3,288,41,19,44,129,172,193,239,393,620,894,1150,1856,2998,3671,4988,6849,8286,7919,5096
1,2009,2,223,30,21,19,123,153,182,207,349,499,691,960,1633,2776,3351,4848,6627,8346,7918,4987
1,2009,1,198,32,17,34,118,136,123,162,232,396,573,824,1322,2253,2856,4124,5832,7394,7207,4621
