sex,year,qimd,0,01-04,05-09,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     
1,2002,5,73775,289147,371999,375603,357810,347984,364920,403885,382133,326376,274065,263704,233649,202989,183409,155455,121360,77315,30618,11817
1,2002,4,59228,236901,313929,326545,314244,344022,378154,417910,401715,344338,291844,287973,265444,214138,191361,166174,131375,85567,36975,14147
1,2002,3,52685,216940,292857,311610,300062,307753,331319,382694,395099,355606,314171,324671,314771,244167,218165,188074,144570,95156,42772,17126
1,2002,2,49456,215550,293465,315372,303801,276765,286242,355114,393369,371036,334474,353840,347931,261994,230359,195683,148421,94378,42858,17752
1,2002,1,50931,228587,314852,337346,317972,249608,250420,329912,397935,390198,351350,364612,353715,252962,223948,188254,140254,87259,38746,15773
1,2003,5,76465,286447,367207,371470,365822,362471,361588,398268,386037,334854,280581,259997,242624,200319,183653,153478,118267,80528,29385,12145
1,2003,4,61383,233368,310271,325397,320736,352102,370308,410805,403720,352925,298780,281412,275789,216070,193550,164909,129906,89065,35177,14784
1,2003,3,54072,213710,290423,311786,306235,314534,322604,376850,396448,365224,321300,313835,327411,249704,222015,188856,145666,99333,41773,17955
1,2003,2,51136,212121,293850,315212,308153,281412,278428,347291,393158,378680,340127,340912,362601,270077,234837,197781,150551,100361,41313,18465
1,2003,1,52769,226514,316432,338842,323463,251293,243112,323988,396791,397934,358033,349639,369407,261441,227830,190899,142968,93790,37494,16803
1,2004,5,78727,288871,363428,368522,367172,381361,365427,390693,385560,342275,288417,258444,248910,198488,183903,150862,116308,80473,29631,12667
1,2004,4,64261,233148,306342,323587,323070,365479,370549,402647,402193,361724,306275,278192,281373,219549,194744,163172,129366,90906,35638,15383
1,2004,3,56385,212263,288398,311395,309259,324298,321561,368518,394126,373188,327641,309183,333476,258436,225558,189088,147241,102186,42051,18745
1,2004,2,53178,209617,292463,315316,310838,288041,276328,337242,389228,386071,347530,332815,367677,281083,240179,199166,152791,103911,41755,19321
1,2004,1,53796,224491,316259,340484,327700,253264,240642,313401,391802,406111,364498,342771,372767,273870,232139,193347,146858,97637,38551,17863
1,2005,5,81811,293800,359953,365930,365198,395729,381210,386830,388268,351373,297832,258972,254006,198522,182938,148966,115472,78317,32509,13120
1,2005,4,65579,236435,301815,320847,323999,377503,383541,397996,401749,372274,315548,277816,286086,224488,194904,162761,129398,89734,38702,15859
1,2005,3,57081,214505,285616,308190,312316,333504,330496,362390,392255,383229,336195,307728,335839,267971,227716,190310,148947,101366,45861,19512
1,2005,2,52702,209930,290072,314071,312954,293258,280548,328027,384335,395636,355379,329855,368879,293025,243602,201829,156014,104281,45935,20170
1,2005,1,53382,224152,314336,339609,330482,254542,241549,302512,384385,414950,372850,339859,373126,287736,234681,196705,151653,99227,42714,18874
1,2006,5,84492,301874,354683,362313,368833,404991,397382,381576,388511,356667,306932,261846,256599,201040,178612,147468,114287,77346,35189,13126
1,2006,4,67420,242078,296367,315258,331671,383611,397089,389912,399975,378738,325426,280159,288041,231842,192923,162557,130263,88724,42437,16117
1,2006,3,58379,218037,280426,303565,318727,337231,340276,352279,388718,389325,346243,308368,335854,280533,226648,191964,151278,101513,50215,19832
1,2006,2,54038,211696,285934,310964,319394,295016,286839,315532,379823,399910,365651,329334,366950,309317,242104,204799,160212,105157,50634,20542
1,2006,1,54063,224989,310537,337324,336793,257983,244685,288821,379138,418207,383459,340413,370495,305373,233611,199910,156328,101361,47269,19299
1,2007,5,87554,312441,349436,361048,370871,415578,417137,375782,386699,362514,314578,266445,249491,213496,174947,147471,113982,76111,37404,13034
1,2007,4,70348,249479,291157,312701,337727,393273,413329,382406,396591,383301,334029,284490,276610,249279,192179,163899,130223,88835,45355,16383
1,2007,3,60188,224134,274262,302345,322991,344761,350980,342088,384955,393817,353963,313120,319527,303121,228587,194653,154124,102380,53869,20115
1,2007,2,56023,216794,281100,309470,324467,299771,292470,303784,375308,402577,373453,333356,346013,335995,245239,208601,163922,107446,54804,20893
1,2007,1,55265,229538,306248,336636,342807,262357,248662,277619,373838,419451,391757,344376,348273,334174,235983,204261,160788,104212,51486,19723
1,2008,5,90587,322687,349934,358389,371074,419015,439728,380027,384000,366780,323009,273830,246276,222863,173747,148987,113479,75499,38820,12589
1,2008,4,74615,259674,289926,309964,339092,396736,431347,384177,392650,385763,343895,292352,271082,259768,195328,166659,130273,88716,48167,16020
1,2008,3,62937,230719,271185,300664,324312,347421,361814,337784,379273,393807,362849,319919,309935,316827,234717,198992,156132,104121,56943,19768
1,2008,2,57228,221790,276894,307991,323466,301215,297991,295524,367030,401307,380801,339238,333801,351431,253626,215028,166767,110027,58839,20581
1,2008,1,56514,231563,302506,336011,342550,266746,251323,268771,365514,416372,400000,351195,335021,349942,244989,209400,165065,108018,55694,19514
1,2009,5,90436,334122,351386,356003,373680,414867,450541,393243,379597,371024,333333,282023,246699,228911,174234,150011,112922,75310,39043,13656
1,2009,4,74304,271213,291221,308451,341954,394069,434890,395011,387476,387519,354402,300574,270037,265776,200148,169472,130246,89288,48543,17215
1,2009,3,63623,238527,271916,298368,325516,347222,363224,342921,369611,392331,371757,326086,305778,322400,243998,202982,157393,106200,57953,21051
1,2009,2,56474,225974,275092,306360,325120,300154,295896,294932,355226,398335,389371,345905,327161,356711,265470,220758,169350,113227,60581,22018
