sex,Area,Age,2014,2015,2016,2017,2018,2019,2020,2021
1,England,0,379495,378524,376965,374809,372088,370257,369229,367893
1,England,1,377627,379701,378717,377143,374995,372282,370458,369436
1,England,2,372688,377933,379991,378990,377418,375273,372562,370740
1,England,3,348765,372899,378128,380168,379168,377597,375453,372743
1,England,4,343272,348784,372903,378114,380155,379156,377586,375443
1,England,5,338518,343126,348626,372728,377939,379981,378983,377414
1,England,6,342516,338321,342917,348401,372502,377713,379756,378759
1,England,7,331704,342355,338149,342730,348214,372314,377526,379569
1,England,8,325045,331899,342536,338314,342895,348380,372479,377691
1,England,9,311559,325416,332257,342877,338655,343237,348722,372820
1,England,10,306546,311702,325547,332374,342994,338773,343355,348840
1,England,11,297831,306492,311639,325471,332298,342918,338698,343280
1,England,12,291419,297855,306508,311643,325474,332301,342921,338702
1,England,13,298041,291616,298044,306686,311821,325651,332478,343097
1,England,14,307771,298497,292062,298478,307120,312255,326084,332911
1,England,15,317710,308551,299262,292810,299226,307868,313003,326830
1,England,16,322793,319062,309879,300563,294114,300530,309171,314306
1,England,17,333709,325182,321409,312180,302869,296424,302840,311480
1,England,18,339093,337261,328666,324819,315595,306290,299849,306265
1,England,19,341417,344026,342095,333398,329556,320339,311040,304604
1,England,20,358587,348317,350796,348734,340044,336208,326998,317706
1,England,21,364087,366907,356489,358808,356752,348070,344239,335037
1,England,22,378399,373325,375965,365366,367689,365638,356964,353139
1,England,23,395419,387590,382318,384749,374160,376486,374440,365774
1,England,24,393053,403985,395947,390457,392891,382312,384641,382600
1,England,25,387842,401017,411726,403470,397987,400425,389855,392187
1,England,26,390187,394757,407722,418217,409970,404494,406935,396374
1,England,27,377323,396075,400461,413231,423726,415488,410019,412463
1,England,28,384744,382148,400730,404948,417716,428210,419981,414519
1,England,29,385067,388880,386140,404557,408778,421543,432035,423816
1,England,30,374206,388466,392145,389269,407678,411901,424662,435152
1,England,31,374447,376463,390599,394158,391289,409689,413914,426670
1,England,32,372297,375587,377509,391534,395095,392233,410622,414848
1,England,33,373873,372885,376092,377925,391942,395504,392649,411026
1,England,34,374600,374520,373455,376574,378409,392416,395979,393130
1,England,35,360970,375298,375144,374001,377119,378956,392952,396515
1,England,36,337333,361373,375618,375390,374251,377369,379207,393190
1,England,37,332012,337639,361587,375745,375519,374384,377501,379340
1,England,38,335325,332257,337818,361668,375809,375585,374454,377570
1,England,39,341255,335467,332345,337833,361651,375773,375552,374426
1,England,40,345551,340976,335144,331967,337448,361232,375335,375117
1,England,41,359897,344917,340302,334428,331258,336732,360480,374564
1,England,42,373992,359154,344158,339505,333644,330482,335949,359661
1,England,43,382699,372946,358103,343097,338455,332608,329456,334918
1,England,44,373152,381444,371682,356837,341864,337236,331405,328264
1,England,45,380991,371798,380051,370285,355477,340540,335928,330115
1,England,46,380848,379781,370592,378809,369073,354305,339408,334813
1,England,47,388166,379929,378853,369670,377882,368180,353455,338599
1,England,48,386723,387205,378982,377900,368753,376962,367296,352616
1,England,49,389280,385814,386291,378083,377021,367914,376119,366491
1,England,50,386311,388536,385078,385550,377384,376345,367279,375481
1,England,51,378972,385582,387802,384354,384848,376727,375711,366689
1,England,52,371488,377923,384519,386738,383327,383843,375770,374778
1,England,53,358296,370033,376458,383043,385283,381910,382450,374428
1,England,54,342959,356664,368372,374789,381379,383640,380308,380873
1,England,55,334558,341140,354808,366488,372911,379505,381787,378499
1,England,56,326674,332487,339068,352698,364358,370786,377383,379687
1,England,57,312971,324306,330124,336705,350300,361937,368368,374967
1,England,58,301913,310425,321731,327553,334136,347692,359302,365735
1,England,59,289527,299085,307581,318853,324681,331264,344777,356356
1,England,60,289324,286470,295995,304470,315709,321542,328123,341588
1,England,61,285933,286245,283444,292930,301387,312589,318424,325001
1,England,62,276935,283018,283350,280604,290055,298491,309650,315486
1,England,63,279325,273992,280037,280393,277714,287126,295537,306648
1,England,64,283739,275874,270616,276621,277010,274400,283769,292150
1,England,65,291182,279731,271979,266800,272770,273193,270655,279976
1,England,66,306579,286988,275714,268081,262994,268927,269385,266923
1,England,67,333474,302232,282963,271878,264380,259390,265284,265778
1,England,68,256221,328628,297932,279003,268124,260769,255882,261735
1,England,69,248390,252263,323634,293509,274940,264277,257073,252295
1,England,70,247051,244114,248032,318305,288783,270591,260155,253110
1,England,71,227569,242225,239468,243426,312540,283648,265851,255654
1,England,72,200799,222525,237002,234426,238423,306305,278074,260692
1,England,73,178839,195892,217237,231517,229126,233155,299727,272189
1,England,74,184992,174119,190850,211786,225849,223645,227700,292878
