"age","sex","qimd","year","pop"
0,"1","1","2002",50931
1,"1","1","2002",57146.75
2,"1","1","2002",57146.75
3,"1","1","2002",57146.75
4,"1","1","2002",57146.75
5,"1","1","2002",62970.4
6,"1","1","2002",62970.4
7,"1","1","2002",62970.4
8,"1","1","2002",62970.4
9,"1","1","2002",62970.4
10,"1","1","2002",67469.2
11,"1","1","2002",67469.2000000001
12,"1","1","2002",67469.2
13,"1","1","2002",67469.2000000001
14,"1","1","2002",67469.2
15,"1","1","2002",63594.4
16,"1","1","2002",63594.4
17,"1","1","2002",63594.3999999999
18,"1","1","2002",63594.4000000001
19,"1","1","2002",63594.3999999999
20,"1","1","2002",49921.6000000001
21,"1","1","2002",49921.5999999999
22,"1","1","2002",49921.6000000001
23,"1","1","2002",49921.5999999999
24,"1","1","2002",49921.6000000001
25,"1","1","2002",50084
26,"1","1","2002",50084
27,"1","1","2002",50084
28,"1","1","2002",50084
29,"1","1","2002",50084
30,"1","1","2002",65982.3999999999
31,"1","1","2002",65982.4000000001
32,"1","1","2002",65982.3999999999
33,"1","1","2002",65982.3999999999
34,"1","1","2002",65982.4000000001
35,"1","1","2002",79587
36,"1","1","2002",79587
37,"1","1","2002",79587
38,"1","1","2002",79587
39,"1","1","2002",79587
40,"1","1","2002",78039.6000000001
41,"1","1","2002",78039.6000000001
42,"1","1","2002",78039.5999999996
43,"1","1","2002",78039.6000000001
44,"1","1","2002",78039.6000000001
45,"1","1","2002",70270
46,"1","1","2002",70270
47,"1","1","2002",70270
48,"1","1","2002",70270
49,"1","1","2002",70270
50,"1","1","2002",72922.3999999999
51,"1","1","2002",72922.3999999999
52,"1","1","2002",72922.4000000004
53,"1","1","2002",72922.3999999999
54,"1","1","2002",72922.3999999999
55,"1","1","2002",70743
56,"1","1","2002",70743
57,"1","1","2002",70743
58,"1","1","2002",70743
59,"1","1","2002",70743
60,"1","1","2002",50592.3999999999
61,"1","1","2002",50592.3999999999
62,"1","1","2002",50592.4000000004
63,"1","1","2002",50592.3999999999
64,"1","1","2002",50592.3999999999
65,"1","1","2002",44789.5999999996
66,"1","1","2002",44789.6000000006
67,"1","1","2002",44789.5999999996
68,"1","1","2002",44789.6000000006
69,"1","1","2002",44789.5999999996
70,"1","1","2002",37650.7999999998
71,"1","1","2002",37650.7999999998
72,"1","1","2002",37650.8000000007
73,"1","1","2002",37650.7999999998
74,"1","1","2002",37650.7999999998
75,"1","1","2002",28050.7999999998
76,"1","1","2002",28050.7999999998
77,"1","1","2002",28050.8000000007
78,"1","1","2002",28050.7999999998
79,"1","1","2002",28050.7999999998
80,"1","1","2002",17451.7999999998
81,"1","1","2002",17451.7999999998
82,"1","1","2002",17451.8000000007
83,"1","1","2002",17451.7999999998
84,"1","1","2002",17451.7999999998
85,"1","1","2002",7749.20000000019
86,"1","1","2002",7749.20000000019
87,"1","1","2002",7749.19999999925
88,"1","1","2002",7749.20000000019
89,"1","1","2002",7749.20000000019
90,"1","1","2002",3154.59999999963
91,"1","1","2002",3154.60000000056
92,"1","1","2002",3154.59999999963
93,"1","1","2002",3154.60000000056
94,"1","1","2002",3154.59999999963
95,"1","1","2002",3154.59999999963
96,"1","1","2002",3154.60000000056
97,"1","1","2002",3154.59999999963
98,"1","1","2002",3154.60000000056
99,"1","1","2002",3154.59999999963
100,"1","1","2002",3154.64135756157
0,"1","2","2002",49456
1,"1","2","2002",53887.5
2,"1","2","2002",53887.5
3,"1","2","2002",53887.5
4,"1","2","2002",53887.5
5,"1","2","2002",58693
6,"1","2","2002",58693
7,"1","2","2002",58693
8,"1","2","2002",58693
9,"1","2","2002",58693
10,"1","2","2002",63074.4
11,"1","2","2002",63074.4
12,"1","2","2002",63074.3999999999
13,"1","2","2002",63074.4
14,"1","2","2002",63074.4
15,"1","2","2002",60760.2
16,"1","2","2002",60760.2000000001
17,"1","2","2002",60760.2000000001
18,"1","2","2002",60760.2
19,"1","2","2002",60760.2
20,"1","2","2002",55353
21,"1","2","2002",55353
22,"1","2","2002",55353
23,"1","2","2002",55353
24,"1","2","2002",55353
25,"1","2","2002",57248.3999999999
26,"1","2","2002",57248.4000000001
27,"1","2","2002",57248.3999999999
28,"1","2","2002",57248.4000000001
29,"1","2","2002",57248.3999999999
30,"1","2","2002",71022.8
31,"1","2","2002",71022.8
32,"1","2","2002",71022.7999999998
33,"1","2","2002",71022.8
34,"1","2","2002",71022.8
35,"1","2","2002",78673.7999999998
36,"1","2","2002",78673.8000000003
37,"1","2","2002",78673.7999999998
38,"1","2","2002",78673.8000000003
39,"1","2","2002",78673.7999999998
40,"1","2","2002",74207.2000000002
41,"1","2","2002",74207.1999999997
42,"1","2","2002",74207.2000000002
43,"1","2","2002",74207.1999999997
44,"1","2","2002",74207.2000000002
45,"1","2","2002",66894.7999999998
46,"1","2","2002",66894.8000000003
47,"1","2","2002",66894.7999999998
